distance,T,p,U_0,U_1,U_2
0.00155556,234.314,13429.5,402.167,1.13391,0
0.00311111,165.639,5212.75,563.457,-188.566,0
0.00466667,146.85,4517.05,588.088,-201.498,0
0.00622222,137.01,4206.33,617.518,-200.978,0
0.00777778,126.381,3849,632.151,-211.085,0
0.00933333,120.296,3694.1,635.356,-233.165,0
0.0108889,117.325,3763.49,646.813,-207.414,0
0.0124444,111.297,3439.45,665.677,-187.479,0
0.014,108.093,3467.75,663.011,-209.303,0
0.0155556,108.627,3559.93,661.305,-204.695,0
0.0171111,105.477,3377.75,668.782,-193.951,0
0.0186667,104.21,3403.39,663.92,-208.206,0
0.0202222,104.4,3448.66,662.039,-212.615,0
0.0217778,104.393,3494.6,660.413,-214.066,0
0.0233333,105.149,3584.97,660.766,-210.634,0
0.0248889,104.73,3533.33,662.405,-208.232,0
0.0264444,105.106,3573.55,661.186,-210.013,0
0.028,105.555,3640.62,662.295,-205.469,0
0.0295556,105.397,3615.21,662.17,-205.035,0
0.0311111,105.409,3623.52,661.251,-208.434,0
0.0326667,102.823,3321.56,661.614,-220.625,0
0.0342222,104.685,3511.98,663.187,-209.785,0
0.0357778,104.409,3472.55,662.437,-210.414,0
0.0373333,104.568,3514.07,661.091,-212.015,0
0.0388889,105.136,3583.91,662.022,-206.503,0
0.0404444,105.437,3598.92,661.172,-207.621,0
0.042,104.959,3554.51,662.192,-211.295,0
0.0435556,105.094,3574.87,661.489,-210.656,0
0.0451111,105.647,3637.63,661.49,-205.837,0
0.0466667,106.011,3679.2,661.495,-204.49,0
0.0482222,106.033,3686.26,662.413,-203.775,0
0.0497778,105.651,3651.31,665.332,-198.011,0
0.0513333,105.587,3641.01,664.129,-201.954,0
0.0528889,105.142,3577.31,662.671,-207.91,0
0.0544444,105.188,3585.79,664.73,-201.987,0
0.056,105.23,3584.4,663.657,-204.984,0
0.0575556,105.063,3554.54,662.862,-206.072,0
0.0591111,105.111,3553.67,661.098,-207.679,0
0.0606667,105.386,3597.09,660.431,-208.691,0
0.0622222,105.243,3582.71,660.987,-207.941,0
0.0637778,105.231,3585.03,661.085,-208.189,0
0.0653333,105.27,3588.72,661.915,-207.116,0
0.0668889,105.174,3564.52,662.197,-208.999,0
0.0684444,105.029,3546.1,661.615,-210.485,0
0.07,105.169,3569.88,661.637,-207.291,0
0.0715556,125.797,5564.59,643.825,-135.458,0
0.0731111,142.151,8300.66,634.618,-66.5828,0
0.0746667,154.591,12391.7,616.608,-63.7732,0
0.0762222,157.902,13044.8,610.152,-36.5329,0
0.0777778,153.964,11118.8,617.787,-17.4032,0
0.0793333,157.973,12138.5,612.155,15.9785,0
0.0808889,161.755,12976.7,605.87,-6.63484,0
0.0824444,161.381,12984.4,607.27,-12.5378,0
0.084,158.848,12248.7,614.048,3.83634,0
0.0855556,159.748,12536.6,610.382,10.8187,0
0.0871111,160.871,12897.1,605.458,-5.3549,0
0.0886667,160.893,13046.5,605.643,-5.97786,0
0.0902222,160.799,13059.4,606.593,-6.71872,0
0.0917778,160.623,13068.3,608.274,-5.1832,0
0.0933333,160.904,13182.9,608.046,-5.67637,0
0.0948889,161.229,13328.1,607.636,-3.89115,0
0.0964444,161.179,13311.9,607.054,-1.84718,0
0.098,160.974,13245.4,606.786,-1.31754,0
0.0995556,160.348,13066.5,606.352,-1.88382,0
0.101111,160.962,13118.6,605.142,-1.65494,0
0.102667,160.195,13070.3,606.773,-1.96791,0
0.104222,160.179,13087.2,608.232,-0.0766475,0
0.105778,160.308,13119.6,608.37,0.417602,0
0.107333,160.57,13148.8,608.19,1.37059,0
0.108889,160.668,13175.6,608.092,0.730131,0
0.110444,161.301,13315.9,605.842,-0.911732,0
0.112,161.187,13292.2,605.792,-1.40971,0
0.113556,160.915,13242.7,605.928,-1.41852,0
0.115111,160.546,13181.4,606.218,-1.04504,0
0.116667,160.132,13127.4,606.655,-0.817564,0
0.118222,159.891,13092.4,607.664,0.200712,0
0.119778,160.023,13120,607.629,0.328723,0
0.121333,160.305,13172.2,607.307,0.381547,0
0.122889,160.736,13246.2,606.658,0.361427,0
0.124444,161.152,13284.3,605.986,0.0794173,0
0.126,161.498,13297.7,605.555,-0.0842618,0
0.127556,161.602,13296.4,605.52,-0.209023,0
0.129111,161.687,13320.3,605.557,-0.0623885,0
0.130667,161.659,13322,605.75,-0.0907282,0
0.132222,161.609,13322.7,605.917,0.411621,0
0.133778,161.587,13328.9,605.949,0.75161,0
0.135333,161.566,13334.4,605.929,0.724731,0
0.136889,161.571,13343.6,605.809,0.969525,0
0.138444,161.617,13367.5,605.58,0.667264,0
0.14,161.64,13390.9,605.454,0.230491,0
0.141556,161.612,13396.5,605.396,0.529654,0
0.143111,161.598,13407.4,605.358,0.83568,0
0.144667,161.58,13415.3,605.395,1.02858,0
0.146222,161.574,13425,605.416,1.30671,0
0.147778,161.558,13424.6,605.414,1.47242,0
0.149333,161.55,13423.4,605.374,1.67322,0
0.150889,161.562,13424.6,605.248,1.87035,0
0.152444,161.603,13429.2,605.042,2.12437,0
0.154,161.657,13428.9,604.873,2.10477,0
