distance,T,p,U_0,U_1,U_2
0,340.19,3331.98,1.48644,-1.30161,0
0.00153939,339.399,3321.87,8.58875,-0.58858,0
0.00307879,332.562,3280.47,-10.2491,4.49482,0
0.00461818,326.841,3139.76,-58.8643,4.43256,0
0.00615758,323.419,3044.28,-105.682,-5.7147,0
0.00769697,321.51,3018.95,-134.589,-5.11729,0
0.00923636,319.878,3016.74,-156.578,-2.82704,0
0.0107758,318.202,3041.94,-173.677,-0.920114,0
0.0123152,316.335,3096.43,-185.554,0.628581,0
0.0138545,315.513,3169.02,-189.279,1.17337,0
0.0153939,315.851,3357.77,-188.273,0.733952,0
0.0169333,317.217,3619.45,-179.882,-0.37904,0
0.0184727,318.402,3828.04,-170.43,-1.03769,0
0.0200121,320.636,4199.82,-151.491,-1.91555,0
0.0215515,322.318,4486.95,-135.653,-2.27788,0
0.0230909,324.956,4986.64,-107.369,-3.07833,0
0.0246303,327.372,5404.23,-82.5173,-3.61008,0
0.0261697,329.276,5855.91,-58.7022,-3.80598,0
0.0277091,331.412,6544.25,-31.1097,5.06815,0
0.0292485,331.784,7031.83,-17.6629,-7.55591,0
0.0307879,332.766,7637.33,16.8691,-4.97989,0
0.0323273,332.367,8235.39,39.3614,-5.31293,0
0.0338667,330.804,9069.91,73.8017,-4.64868,0
0.0354061,328.368,9532.75,95.0472,-4.0343,0
0.0369455,326.014,10008.9,120.123,-3.67069,0
0.0384848,324.192,10521.3,140.113,-3.2329,0
0.0400242,322.042,11022.2,160.625,-3.17838,0
0.0415636,318.874,11370.8,180.917,-3.01473,0
0.043103,314.939,11572.8,200.16,-2.56139,0
0.0446424,311.188,11754.2,219.576,-2.29586,0
0.0461818,308.451,11985,234.327,-1.78535,0
0.0477212,306.403,12234.7,244.625,-1.41356,0
0.0492606,303.237,12303.7,257.072,-1.35639,0
0.0508,301.397,12274.9,265.031,-1.31924,0
0.0523394,299.415,12357.7,277.227,-0.849256,0
0.0538788,298.495,12636.7,284.219,-0.661228,0
0.0554182,296.556,12743.2,294.425,-0.787697,0
0.0569576,294.74,12767.5,303.151,-0.675341,0
0.058497,293.966,12808.9,306.171,-0.676881,0
0.0600364,292.086,12823.6,312.13,-0.590652,0
0.0615758,290.124,12748.9,319.158,-0.50647,0
0.0631152,289.521,12745.5,322.493,-0.33272,0
0.0646545,289.086,12804.3,327.116,-0.187016,0
0.0661939,288.309,12892.7,330.804,-0.388341,0
0.0677333,287.672,12919.8,332.718,-0.41987,0
0.0692727,286.136,12924.8,336.131,-0.440998,0
0.0708121,285.46,12920.1,337.605,-0.368398,0
0.0723515,284.553,12935.3,339.163,-0.279067,0
0.0738909,283.989,12977.7,340.752,-0.105983,0
0.0754303,283.796,12996.9,341.889,-0.0609101,0
0.0769697,283.725,13017.9,344.633,-0.0168208,0
0.0785091,283.737,13018.5,346.065,-0.0286567,0
0.0800485,283.693,13017.3,348.756,0.000232531,0
0.0815879,283.711,13031.6,349.873,0.024456,0
0.0831273,283.763,13065.6,350.821,0.0478106,0
0.0846667,283.876,13148,352.777,0.0815427,0
0.0862061,283.863,13167.2,353.841,0.0631279,0
0.0877455,283.432,13120.5,356.806,0.0187335,0
0.0892848,282.991,13080.9,358.33,0.00138727,0
0.0908242,283,13083.2,359.462,0.0824317,0
0.0923636,282.918,13135.9,358.709,0.135902,0
0.093903,282.869,13172.6,358.009,0.206599,0
0.0954424,282.909,13211.2,357.008,0.253477,0
0.0969818,282.763,13175.8,356.378,0.266167,0
0.0985212,282.561,13142.3,356.325,0.257947,0
0.100061,282.514,13123.4,356.265,0.227814,0
0.1016,282.619,13166.3,355.843,0.170206,0
0.103139,282.728,13197,356.011,0.138271,0
0.104679,282.759,13215.5,356.624,0.0806776,0
0.106218,282.843,13236.9,357.451,0.0640393,0
0.107758,283.335,13283.7,359.256,0.0609484,0
0.109297,283.823,13329.7,359.189,0.116474,0
0.110836,284.359,13362.8,359.1,0.115695,0
0.112376,284.961,13393.2,358.75,0.155266,0
0.113915,285.14,13406.9,357.772,0.242143,0
0.115455,285,13404.6,357.234,0.246609,0
0.116994,284.871,13412.5,356.511,0.248365,0
0.118533,284.952,13444.5,355.832,0.2053,0
0.120073,284.993,13489.2,354.937,0.21275,0
0.121612,285.042,13539.7,354.875,0.124988,0
0.123152,284.908,13565,355.15,0.117717,0
0.124691,284.538,13548,356.476,0.0996284,0
0.12623,284.419,13512.6,357.379,0.0687156,0
0.12777,284.491,13473.3,358.429,0.0539784,0
0.129309,284.693,13427.7,358.973,0.0945279,0
0.130848,285.185,13401.7,358.83,0.104529,0
0.132388,285.619,13375.3,358.298,0.127814,0
0.133927,285.801,13359.9,357.262,0.150209,0
0.135467,285.87,13350.9,356.154,0.17131,0
0.137006,285.972,13357,354.826,0.2332,0
0.138545,286.255,13367.7,353.765,0.109993,0
0.140085,286.573,13375.2,353.62,0.0509616,0
0.141624,286.771,13384.6,353.671,0.0620762,0
0.143164,286.818,13391.2,353.837,0.0663673,0
0.144703,286.864,13399,353.939,0.0743955,0
0.146242,286.946,13405.7,354.036,0.0749324,0
0.147782,287.067,13414,354.124,0.0670433,0
0.149321,287.184,13418,354.286,0.0565562,0
0.150861,287.268,13416.9,354.328,0.0796982,0
0.1524,287.415,13418.8,354.218,0.0815031,0
