x,y,z,T,p,U_0,U_1,U_2
0,0.05,0,288.9,101350,851.84,7.63723e-13,-4.21013e-18
0.00411892,0.0511037,4.33681e-19,288.9,101350,851.84,1.54635e-12,-1.13014e-17
0.00823784,0.0522073,0,288.9,101350,851.84,3.22472e-12,-1.41642e-17
0.0123568,0.053311,-4.33681e-19,288.9,101350,851.84,6.01103e-12,-7.93774e-18
0.0164757,0.0544146,0,288.9,101350,851.84,1.14628e-11,-4.98203e-18
0.0205946,0.0555183,4.06576e-19,288.9,101350,851.84,2.50347e-11,5.10625e-18
0.0247135,0.056622,5.42101e-19,288.9,101350,851.84,7.32922e-11,3.27978e-19
0.0288324,0.0577256,3.25261e-19,288.9,101350,851.84,2.63613e-10,3.22666e-18
0.0329514,0.0588293,-3.25261e-19,288.9,101350,851.84,1.13692e-09,5.47035e-18
0.0370703,0.0599329,0,288.9,101350,851.84,4.90152e-09,1.48291e-17
0.0411892,0.0610366,6.50521e-19,288.9,101350,851.84,2.11248e-08,-3.61209e-19
0.0453081,0.0621403,-2.1684e-19,288.9,101350,851.84,7.87768e-08,1.63127e-17
0.049427,0.0632439,4.06576e-20,288.9,101350,851.84,3.29223e-07,1.39999e-17
0.0535459,0.0643476,5.96311e-19,288.9,101350,851.84,2.03129e-06,-1.09883e-17
0.0576649,0.0654513,5.42101e-19,288.9,101350,851.84,1.31379e-05,-8.28914e-18
0.0617838,0.0665549,4.33681e-19,288.9,101350,851.84,7.97414e-05,1.56636e-17
0.0659027,0.0676586,-1.30104e-18,288.9,101350,851.84,0.000425751,2.30114e-17
0.0700216,0.0687622,2.1684e-19,288.902,101352,851.838,0.00232132,3.01671e-17
0.0741405,0.0698659,2.1684e-19,288.91,101361,851.829,0.0122379,8.05534e-18
0.0782595,0.0709696,4.33681e-19,288.949,101404,851.782,0.0639505,0
0.0823784,0.0720732,4.33681e-19,289.12,101577,851.577,0.312287,-1.01405e-19
0.0864973,0.0731769,9.48677e-19,290.075,102407,850.461,1.49564,-5.3734e-18
0.0906162,0.0742805,-4.33681e-19,292.384,105178,847.563,6.7155,-3.68663e-17
0.0947351,0.0753842,2.1684e-19,305.216,116164,831.788,21.3808,-4.0163e-19
0.0988541,0.0764879,4.33681e-19,316.694,134639,815.897,58.6675,1.95072e-18
0.102973,0.0775915,1.6263e-19,348.004,175530,770.447,98.9698,5.05257e-18
0.107092,0.0786952,-1.6263e-19,365.816,209474,741.673,141.055,3.1284e-18
0.111211,0.0797988,8.55503e-20,370.113,225490,728.078,176.293,5.96959e-17
0.11533,0.0809025,1.0842e-19,377.493,240528,715.96,182.469,1.2374e-17
0.119449,0.0820062,0,381.116,246190,710.401,187.87,1.71731e-17
0.123568,0.0831098,2.1684e-19,382.261,247872,708.499,190.776,8.35343e-18
0.127686,0.0842135,4.33681e-19,383.031,249505,707.375,190.651,0
0.131805,0.0853171,2.1684e-19,382.798,250052,707.764,190.022,0
0.135924,0.0864208,0,382.245,249856,708.469,189.882,0
0.140043,0.0875245,-2.98156e-19,381.972,249766,708.814,189.918,-9.59657e-19
0.144162,0.0886281,-3.79471e-19,382.072,249876,708.807,189.905,1.24807e-17
0.148281,0.0897318,6.36969e-19,382.362,250022,708.64,189.96,-2.37346e-19
0.1524,0.0908355,2.1684e-19,382.645,250119,708.368,189.96,3.54256e-17
0.156519,0.0919391,4.33681e-19,382.717,250122,708.15,189.824,3.64377e-19
0.160638,0.0930428,0,382.633,250041,708.188,189.719,0
0.164757,0.0941464,7.58942e-19,382.401,249879,708.382,189.575,-3.70979e-18
0.168876,0.0952501,1.0842e-19,382.159,249761,708.582,189.551,-9.0705e-17
0.172995,0.0963538,5.42101e-20,382.143,249809,708.603,189.562,0
0.177114,0.0974574,1.0842e-19,382.218,249941,708.52,189.564,-3.41004e-18
