distance,T,p,U_0,U_1,U_2
0,337.521,2808.33,3.56544,-1.27413,0
0.00153939,337.618,2800.52,10.7832,-0.75559,0
0.00307879,336.02,2793.75,4.64332,2.06845,0
0.00461818,330.124,2746.27,-35.6715,2.71308,0
0.00615758,325.233,2653.61,-106.528,-1.63082,0
0.00769697,320.843,2572.33,-151.656,-3.40307,0
0.00923636,317.914,2556.77,-177.4,-1.72934,0
0.0107758,315.465,2587.86,-195.343,-0.250974,0
0.0123152,313.599,2668.61,-206.415,1.17389,0
0.0138545,312.885,2757.17,-209.414,2.10522,0
0.0153939,312.958,2957.72,-207.26,1.23933,0
0.0169333,314.62,3253.02,-196.461,0.0514092,0
0.0184727,316.33,3503.94,-184.417,-0.830736,0
0.0200121,319.736,3971.64,-159.297,-2.09978,0
0.0215515,322.51,4357.09,-138.033,-3.09861,0
0.0230909,326.837,5052.21,-99.6202,-4.67641,0
0.0246303,329.24,5580.45,-70.9409,-5.63097,0
0.0261697,331.137,6154.81,-40.5742,-6.3144,0
0.0277091,332.901,7099.07,4.66698,-5.6897,0
0.0292485,332.73,7742.52,32.8733,-5.06633,0
0.0307879,331.371,8367.79,61.856,-4.78843,0
0.0323273,329.232,8975.38,90.7067,-4.35912,0
0.0338667,325.279,9850.04,130.967,-3.51519,0
0.0354061,322.021,10377.1,156.207,-3.46423,0
0.0369455,318.192,10815.1,180.966,-3.28888,0
0.0384848,314.459,11207.4,202.83,-2.89173,0
0.0400242,311.082,11578.8,222.116,-2.46421,0
0.0415636,307.471,11850.7,240.598,-2.12485,0
0.043103,303.572,12034.2,258.177,-1.89309,0
0.0446424,299.651,12116.1,275.078,-1.69578,0
0.0461818,296.612,12204.3,288.471,-1.24485,0
0.0477212,294.087,12328.2,299.225,-0.96272,0
0.0492606,291.578,12383.9,309.71,-0.778717,0
0.0508,290.562,12421.9,314.016,-0.673885,0
0.0523394,288.32,12429.2,322.895,-0.583587,0
0.0538788,286.019,12368.5,331.709,-0.443723,0
0.0554182,284.521,12410.3,337.763,-0.196474,0
0.0569576,283.468,12475.6,342.389,-0.153432,0
0.058497,282.928,12491.6,344.678,-0.148731,0
0.0600364,281.924,12519.4,348.926,-0.107106,0
0.0615758,281.405,12624.7,351.508,0.0425778,0
0.0631152,281.372,12699,352.363,0.0476917,0
0.0646545,281.186,12810.5,354.518,-0.00439218,0
0.0661939,280.671,12828.9,357.693,-0.0575649,0
0.0677333,280.452,12835.5,359.139,-0.0458332,0
0.0692727,280.313,12889.8,361.019,0.0442544,0
0.0708121,280.312,12922.8,361.79,0.0455286,0
0.0723515,280.293,12973.5,363.362,0.0272418,0
0.0738909,280.316,13010.8,364.775,0.0190404,0
0.0754303,280.356,13029.9,365.336,0.0175698,0
0.0769697,280.443,13063.3,366.331,0.0158415,0
0.0785091,280.43,13070.8,366.93,0.00879209,0
0.0800485,280.409,13072.5,368.145,0.00616801,0
0.0815879,280.444,13077.4,368.631,0.0150542,0
0.0831273,280.531,13091.5,368.955,0.0378342,0
0.0846667,280.815,13137.7,369.163,0.0341077,0
0.0862061,281.001,13139.8,369.418,0.0299632,0
0.0877455,280.791,13073.8,370.965,0.00761798,0
0.0892848,280.555,13013.4,372.366,-0.0298078,0
0.0908242,280.443,12971.4,372.442,0.072574,0
0.0923636,280.825,12997.6,371.762,0.064334,0
0.093903,281.339,13065.2,370.61,0.0713552,0
0.0954424,282.02,13192.4,368.664,0.0237816,0
0.0969818,282.955,13364.4,366.377,0.0247891,0
0.0985212,283.105,13374.3,366.506,0.0165143,0
0.100061,283.055,13353.4,367.067,0.00796833,0
0.1016,282.788,13268.2,368.629,-0.0184109,0
0.103139,282.575,13211.7,369.39,0.050465,0
0.104679,282.425,13156.7,370.286,-0.0434332,0
0.106218,282.311,13115.1,370.532,0.0825926,0
0.107758,282.646,13108.1,369.77,0.115132,0
0.109297,283.085,13148.2,368.726,0.112723,0
0.110836,283.832,13230.9,367.106,0.145995,0
0.112376,284.654,13328.5,365.437,0.0733344,0
0.113915,285.373,13395.9,364.272,0.0708406,0
0.115455,285.438,13389.8,364.35,0.0675907,0
0.116994,285.384,13369.5,364.631,0.0367827,0
0.118533,285.322,13351.3,364.702,0.0685614,0
0.120073,285.35,13339.5,364.592,0.0682123,0
0.121612,285.416,13341.4,364.311,0.0811638,0
0.123152,285.511,13346.8,363.907,0.0903745,0
0.124691,285.799,13369.4,362.847,0.10153,0
0.12623,285.948,13380.3,362.333,0.0998499,0
0.12777,286.091,13388.3,361.905,0.0964728,0
0.129309,286.235,13393.1,361.605,0.0837655,0
0.130848,286.374,13394.7,361.403,0.0741411,0
0.132388,286.511,13395.8,361.234,0.0656817,0
0.133927,286.651,13395.2,361.07,0.0612754,0
0.135467,286.715,13390.4,360.941,0.0677241,0
0.137006,286.762,13385.1,360.7,0.0787666,0
0.138545,286.82,13382.8,360.291,0.0973242,0
0.140085,286.886,13382.8,359.798,0.108819,0
0.141624,286.977,13384.9,359.222,0.121907,0
0.143164,287.128,13392.8,358.536,0.123014,0
0.144703,287.327,13404.4,357.824,0.127554,0
0.146242,287.558,13414.1,357.285,0.107468,0
0.147782,287.809,13425.8,356.783,0.0995842,0
0.149321,288.05,13435.6,356.366,0.0876213,0
0.150861,288.269,13441.2,356.061,0.0747765,0
0.1524,288.473,13444.7,355.821,0.0667824,0
