distance,T,p,U_0,U_1,U_2
0.00155556,237.976,13342.9,394.241,0.332222,0
0.00311111,167.961,5126.92,547.785,-176.586,0
0.00466667,146.703,4203.91,590.808,-203.32,0
0.00622222,138.341,4158.7,609.519,-208.414,0
0.00777778,131.251,4130.97,624.511,-203.505,0
0.00933333,123.657,4080.76,638.534,-199.391,0
0.0108889,116.994,3943.01,649.503,-200.896,0
0.0124444,112.59,3828.86,656.516,-200.846,0
0.014,110.06,3769.71,659.596,-201.947,0
0.0155556,108.438,3721.69,660.942,-202.741,0
0.0171111,108.021,3735.69,661.167,-202.344,0
0.0186667,105.089,3561.26,663.19,-208,0
0.0202222,104.861,3514.52,662.488,-210.518,0
0.0217778,106.005,3622.06,661.235,-207.433,0
0.0233333,106.411,3695.75,661.449,-203.794,0
0.0248889,105.899,3691.66,662.499,-201.707,0
0.0264444,106.01,3703.63,662.158,-201.758,0
0.028,104.971,3621.14,662.746,-204.723,0
0.0295556,103.77,3500.03,662.658,-210.494,0
0.0311111,104.73,3487.75,660.462,-213.283,0
0.0326667,104.104,3409.2,661.291,-214.846,0
0.0342222,105.914,3582.84,658.953,-210.778,0
0.0357778,105.727,3641.19,661.111,-205.981,0
0.0373333,105.099,3617.15,662.312,-205.647,0
0.0388889,103.909,3526.3,663.176,-208.902,0
0.0404444,104.191,3519.2,662.507,-209.507,0
0.042,104.486,3521.6,662.115,-209.575,0
0.0435556,105.574,3569.11,660.837,-208.575,0
0.0451111,105.075,3573.71,661.981,-207.182,0
0.0466667,105.75,3648.73,660.915,-205.872,0
0.0482222,105.849,3668.36,661.263,-204.431,0
0.0497778,104.883,3604.8,662.42,-205.782,0
0.0513333,103.813,3530.36,662.522,-209.726,0
0.0528889,103.912,3451.52,661.418,-214.233,0
0.0544444,104.046,3454.74,661.957,-212.626,0
0.056,109.571,3988.26,658.303,-195.352,0
0.0575556,143.739,6797.08,616.443,-132.753,0
0.0591111,161.64,12776.6,597.213,-23.8743,0
0.0606667,162.641,13004.7,596.539,3.21918,0
0.0622222,164.114,13394.5,594.616,0.466704,0
0.0637778,163.413,13215.7,596.129,2.40898,0
0.0653333,161.751,12829,599.993,8.33882,0
0.0668889,162.398,12991.8,600.784,5.63305,0
0.0684444,164.233,13324.7,599.201,1.85964,0
0.07,163.524,13409,601.871,-0.345809,0
0.0715556,162.435,13217.9,605.524,0.993206,0
0.0731111,162.14,13125.5,606.941,2.25594,0
0.0746667,161.811,13053.2,609.048,1.98562,0
0.0762222,161.864,13059.6,609.654,1.44342,0
0.0777778,161.682,13021.1,611.1,0.925491,0
0.0793333,161.618,13002,611.942,1.28512,0
0.0808889,161.093,12900.9,613.777,0.981041,0
0.0824444,161.065,12897.4,613.989,-0.0815473,0
0.084,160.779,12845.8,615.222,-1.17912,0
0.0855556,160.676,12809.6,615.951,-1.71969,0
0.0871111,160.274,12748,616.866,-2.33349,0
0.0886667,160.317,12750.5,616.996,-2.8021,0
0.0902222,160.237,12746.5,617.3,-3.18408,0
0.0917778,160.126,12738.8,617.729,-3.72536,0
0.0933333,160.006,12722.1,617.927,-3.92092,0
0.0948889,159.664,12674.8,618.302,-4.69778,0
0.0964444,159.456,12642.7,618.479,-5.36448,0
0.098,159.203,12607,618.709,-6.19768,0
0.0995556,158.894,12582.8,618.637,-7.20939,0
0.101111,159.313,12610.5,618.001,-7.21168,0
0.102667,158.983,12618.7,618.097,-7.26879,0
0.104222,159.092,12679.6,617.396,-6.76236,0
0.105778,159.171,12712.1,616.987,-6.64132,0
0.107333,159.509,12731.3,616.158,-6.47822,0
0.108889,159.15,12744,616.327,-6.33749,0
0.110444,159.168,12776.9,615.609,-6.25623,0
0.112,159.195,12794.3,615.207,-6.27133,0
0.113556,159.176,12810.3,614.911,-6.07385,0
0.115111,159.225,12829.1,614.491,-5.96279,0
0.116667,159.186,12842.5,614.268,-5.62513,0
0.118222,159.204,12876.6,613.629,-4.91986,0
0.119778,159.305,12903.1,613.276,-4.53381,0
0.121333,159.309,12918.3,612.876,-4.12091,0
0.122889,159.213,12923.8,612.839,-3.67058,0
0.124444,159.396,12953.6,612.398,-3.30786,0
0.126,159.286,12948.3,612.487,-2.95152,0
0.127556,159.408,12965.8,612.225,-2.64138,0
0.129111,159.414,12979.6,612.157,-2.09213,0
0.130667,159.335,12981.8,612.287,-1.84092,0
0.132222,159.43,13002.6,612.146,-1.53096,0
0.133778,159.345,13004.1,612.325,-1.28029,0
0.135333,159.417,13021.8,612.259,-0.916048,0
0.136889,159.298,13018.6,612.499,-0.656983,0
0.138444,159.341,13027.1,612.54,-0.312077,0
0.14,159.268,13026.6,612.777,-0.0529226,0
0.141556,159.295,13031.2,612.904,0.281782,0
0.143111,159.254,13034.4,613.156,0.528627,0
0.144667,159.264,13039.5,613.359,0.850188,0
0.146222,159.228,13039.6,613.66,0.98387,0
0.147778,159.223,13040.9,613.93,1.20446,0
0.149333,159.199,13041.5,614.243,1.28131,0
0.150889,159.164,13040.4,614.576,1.3707,0
0.152444,159.132,13040.8,614.912,1.40343,0
0.154,159.103,13042.7,615.246,1.4451,0
