distance,T,p,U_0,U_1,U_2
0.00155556,174.732,13446.1,576.921,1.03144,0
0.00311111,139.145,6876.93,631.193,-118.396,0
0.00466667,118.356,5103.3,657.66,-153.371,0
0.00622222,110.227,4693.41,666.414,-166.745,0
0.00777778,107.801,4387.83,667.851,-178.315,0
0.00933333,105.667,4154.97,668.223,-187.673,0
0.0108889,105.721,3990.03,666.732,-192.681,0
0.0124444,110.641,4093.46,655.442,-197.696,0
0.014,110.196,4087.42,659.526,-188.014,0
0.0155556,109.711,4123.52,659.873,-187.425,0
0.0171111,105.382,3860.96,666.954,-192.461,0
0.0186667,107.695,3895.47,661.516,-196.663,0
0.0202222,109.592,3993.01,655.993,-195.956,0
0.0217778,113.649,4569.55,638.027,-185.242,0
0.0233333,120.367,5689,613.348,-162.026,0
0.0248889,130.57,7688.06,580.4,-120.498,0
0.0264444,133.414,8224.89,572.981,-107.494,0
0.028,136.365,8814.77,566.519,-92.3282,0
0.0295556,137.96,9167.47,563.865,-82.6052,0
0.0311111,139.391,9488.54,562.277,-73.1104,0
0.0326667,141.37,9919.31,558.032,-58.5642,0
0.0342222,142.427,10217.8,562.641,-50.5804,0
0.0357778,143.434,10495.6,564.504,-41.968,0
0.0373333,144.487,10769.1,567.374,-33.8152,0
0.0388889,145.557,11039.6,571.173,-26.2231,0
0.0404444,146.599,11306.8,575.776,-19.3122,0
0.042,147.612,11569.2,580.98,-13.1945,0
0.0435556,148.532,11822.6,586.536,-8.01539,0
0.0451111,149.36,12068.3,592.213,-3.79332,0
0.0466667,150.06,12300.4,597.883,-0.64813,0
0.0482222,150.707,12520.5,603.287,1.43041,0
0.0497778,151.375,12753.7,607.823,2.61482,0
0.0513333,151.93,12949,611.533,3.06755,0
0.0528889,152.461,13117.8,614.326,3.06199,0
0.0544444,152.879,13247.5,616.383,2.86487,0
0.056,153.185,13341.8,617.796,2.64101,0
0.0575556,153.304,13380.9,618.29,2.61682,0
0.0591111,153.469,13432.8,618.976,2.50553,0
0.0606667,153.574,13465.3,619.352,2.457,0
0.0622222,153.648,13485.7,619.54,2.44206,0
0.0637778,153.663,13491,619.614,2.44357,0
0.0653333,153.693,13502,619.663,2.4935,0
0.0668889,153.724,13509.5,619.684,2.55106,0
0.0684444,153.719,13509.4,619.713,2.57914,0
0.07,153.737,13514.8,619.714,2.63569,0
0.0715556,153.753,13519.6,619.714,2.67659,0
0.0731111,153.772,13524.1,619.695,2.68807,0
0.0746667,153.785,13528.6,619.692,2.73138,0
0.0762222,153.781,13528.3,619.711,2.75009,0
0.0777778,153.792,13531.4,619.71,2.78159,0
0.0793333,153.814,13537.1,619.71,2.84223,0
0.0808889,153.825,13540.7,619.703,2.84102,0
0.0824444,153.817,13538,619.698,2.81579,0
0.084,153.806,13536.1,619.731,2.89838,0
0.0855556,153.818,13538.9,619.74,2.92911,0
0.0871111,153.823,13540.2,619.719,2.87817,0
0.0886667,153.829,13541.9,619.718,2.86721,0
0.0902222,153.828,13541.8,619.725,2.86562,0
0.0917778,153.826,13540.7,619.742,2.88502,0
0.0933333,153.828,13540.8,619.742,2.88601,0
0.0948889,153.83,13541.4,619.744,2.87904,0
0.0964444,153.83,13541.3,619.746,2.88012,0
0.098,153.828,13540.8,619.751,2.88322,0
0.0995556,153.824,13539.1,619.759,2.89502,0
0.101111,153.821,13537.5,619.769,2.88271,0
0.102667,153.822,13537.9,619.759,2.89604,0
0.104222,153.822,13537.6,619.756,2.87933,0
0.105778,153.822,13537.4,619.755,2.8681,0
0.107333,153.816,13534.8,619.767,2.8326,0
0.108889,153.819,13536.4,619.759,2.84653,0
0.110444,153.814,13534.6,619.768,2.8234,0
0.112,153.809,13533.3,619.776,2.81156,0
0.113556,153.807,13532.2,619.778,2.79858,0
0.115111,153.802,13531,619.786,2.78572,0
0.116667,153.801,13530.1,619.785,2.77363,0
0.118222,153.795,13528.2,619.788,2.75154,0
0.119778,153.789,13527,619.795,2.74096,0
0.121333,153.789,13526.1,619.794,2.72771,0
0.122889,153.783,13524.7,619.802,2.71442,0
0.124444,153.781,13523.7,619.802,2.69918,0
0.126,153.776,13522.4,619.808,2.68427,0
0.127556,153.773,13521.4,619.808,2.66824,0
0.129111,153.764,13518.8,619.815,2.64144,0
0.130667,153.761,13517.6,619.817,2.62848,0
0.132222,153.757,13516.4,619.821,2.61517,0
0.133778,153.755,13515.2,619.821,2.6001,0
0.135333,153.749,13514.1,619.827,2.58403,0
0.136889,153.748,13513.1,619.825,2.56682,0
0.138444,153.74,13511.6,619.836,2.54916,0
0.14,153.738,13510.6,619.835,2.53039,0
0.141556,153.733,13509.3,619.841,2.51083,0
0.143111,153.737,13509.2,619.829,2.49361,0
0.144667,153.731,13508.2,619.837,2.4783,0
0.146222,153.732,13507.4,619.831,2.45976,0
0.147778,153.725,13506.3,619.839,2.4443,0
0.149333,153.725,13505.5,619.836,2.43014,0
0.150889,153.713,13503.5,619.852,2.41533,0
0.152444,153.715,13502.9,619.848,2.39698,0
0.154,153.71,13501.5,619.854,2.38083,0
