# File Name: BLST.dat
# Small Tunnel boundary layer at cube location                                    
#
#        "Uh, m/s"       "d, mm"    "h, mm"         
#         3.485           1.5        80              
# (z-d)/h  U/Uh          u'2bar/Uh2      v'2bar/Uh2      w'2bar/Uh2     -u'w'bar/Uh2
  0.962   9.97E-01        1.30E-02        7.84E-03        6.04E-03        2.77E-03
  1.051   1.01E+00        1.25E-02        7.98E-03        6.05E-03        2.68E-03
  1.14    1.03E+00        1.15E-02        7.33E-03        5.96E-03        2.53E-03
  1.23    1.04E+00        1.14E-02        7.18E-03        5.81E-03        2.55E-03
  1.319   1.05E+00        1.10E-02        6.86E-03        5.54E-03        2.29E-03
  1.382   1.06E+00        1.06E-02        6.75E-03        5.34E-03        2.31E-03
  1.641   1.09E+00        8.75E-03        5.48E-03        4.92E-03        1.96E-03
  1.899   1.12E+00        7.26E-03        4.55E-03        4.19E-03        1.57E-03
  2.158   1.14E+00        5.17E-03        3.58E-03        3.54E-03        1.05E-03
  2.417   1.16E+00        3.56E-03        2.65E-03        2.76E-03        5.89E-04
  2.677   1.17E+00        2.29E-03        1.93E-03        2.23E-03        3.09E-04
  2.935   1.17E+00        1.54E-03        1.48E-03        1.66E-03        7.21E-05
  3.194   1.17E+00        1.31E-03        1.01E-03        1.32E-03        -6.90E-06
  3.453   1.17E+00        9.88E-04        8.24E-04        9.93E-04        -4.56E-05
  3.712   1.17E+00        8.38E-04        6.73E-04        7.74E-04        -8.06E-05
  3.971   1.17E+00        7.79E-04        6.15E-04        6.99E-04        -7.56E-05
  4.23    1.16E+00        7.25E-04        5.57E-04        6.07E-04        -8.22E-05
  4.489   1.16E+00        6.88E-04        5.21E-04        5.89E-04        -8.12E-05
  4.748   1.16E+00        7.01E-04        5.20E-04        5.80E-04        -9.22E-05
  5.006   1.15E+00        6.94E-04        5.21E-04        5.71E-04        -1.09E-04
#  
#          "Uh, m/s"       "d, mm"    "h, mm"         
#           1.37E+01        2.5        8.00E+01                
# (z-d)/h  U/Uh          u'2bar/Uh2      v'2bar/Uh2      w'2bar/Uh2     -u'w'bar/Uh2
  0.069   5.99E-01        2.69E-02        9999.9  5.91E-03        3.43E-03
  0.158   7.21E-01        2.40E-02        9999.9  5.96E-03        3.45E-03
  0.247   7.92E-01        2.22E-02        9999.9  5.99E-03        3.39E-03
  0.337   8.36E-01        2.00E-02        9999.9  6.29E-03        3.38E-03
  0.426   8.72E-01        1.88E-02        9999.9  6.44E-03        3.43E-03
  0.515   9.01E-01        1.67E-02        9999.9  6.38E-03        3.18E-03
  0.605   9.24E-01        1.63E-02        9999.9  6.53E-03        3.17E-03
  0.694   9.44E-01        1.56E-02        9999.9  6.51E-03        3.19E-03
  0.784   9.64E-01        1.44E-02        9999.9  6.30E-03        2.94E-03
  0.873   9.85E-01        1.33E-02        9999.9  6.12E-03        2.62E-03
  0.962   1.00E+00        1.26E-02        9999.9  6.13E-03        2.63E-03
  1.051   1.02E+00        1.22E-02        9999.9  5.99E-03        2.64E-03
  1.14    1.03E+00        1.19E-02        9999.9  5.74E-03        2.57E-03
  1.23    1.04E+00        1.16E-02        9999.9  5.68E-03        2.47E-03
  1.319   1.06E+00        1.07E-02        9999.9  5.48E-03        2.30E-03
  1.382   1.06E+00        1.07E-02        9999.9  5.31E-03        2.26E-03
  1.641   1.10E+00        8.75E-03        9999.9  4.72E-03        1.83E-03
  1.899   1.13E+00        6.87E-03        9999.9  4.04E-03        1.34E-03
  2.158   1.15E+00        4.68E-03        9999.9  3.31E-03        8.93E-04
  2.417   1.16E+00        3.26E-03        9999.9  2.65E-03        5.95E-04
  2.677   1.17E+00        1.99E-03        9999.9  1.91E-03        2.09E-04
  2.935   1.18E+00        1.45E-03        9999.9  1.48E-03        1.37E-05
  3.194   1.18E+00        1.08E-03        9999.9  1.12E-03        -5.98E-05
  3.453   1.18E+00        9.01E-04        9999.9  8.75E-04        -9.15E-05
  3.712   1.17E+00        8.14E-04        9999.9  7.32E-04        -9.13E-05
  3.971   1.17E+00        7.44E-04        9999.9  6.34E-04        -9.23E-05
  4.23    1.17E+00        7.14E-04        9999.9  5.95E-04        -9.45E-05
  4.489   1.16E+00        7.01E-04        9999.9  5.70E-04        -9.61E-05
  4.748   1.16E+00        6.85E-04        9999.9  5.62E-04        -1.04E-04
  5.006   1.15E+00        6.86E-04        9999.9  5.62E-04        -1.18E-04
