# File Name: BLLT.dat
# Large Tunnel boundary layer at cube location                                    
#
#         "Uh, m/s"       "d, mm"     "h, mm"         
#          4.22            6.0         240.0           
# (z-d)/h  U/Uh          u'2bar/Uh2      v'2bar/Uh2   w'2bar/Uh2      -u'w'bar/Uh2
  0.350   8.425E-01       2.204E-02       9999.9       8.391E-03       4.832E-03
  0.392   8.509E-01       2.130E-02       9999.9       8.565E-03       4.757E-03
  0.475   8.826E-01       2.007E-02       9999.9       8.687E-03       4.605E-03
  0.600   9.156E-01       1.941E-02       9999.9       8.909E-03       4.592E-03
  0.808   9.612E-01       1.643E-02       9999.9       9.036E-03       4.194E-03
  1.017   9.950E-01       1.594E-02       9999.9       9.027E-03       4.228E-03
  1.225   1.020E+00       1.524E-02       9999.9       8.875E-03       4.058E-03
  1.433   1.046E+00       1.501E-02       9999.9       8.574E-03       4.068E-03
  1.642   1.073E+00       1.322E-02       9999.9       7.981E-03       3.536E-03
  1.850   1.102E+00       1.225E-02       9999.9       7.408E-03       3.359E-03
  2.058   1.118E+00       1.124E-02       9999.9       6.957E-03       3.164E-03
