distance,T,p,U_0,U_1,U_2
0.00155556,234.305,13433.6,402.131,0.728968,0
0.00311111,174.023,6366.65,538.04,-158.708,0
0.00466667,146.611,4141.49,590.089,-207.781,0
0.00622222,137.234,4208.91,607.972,-219.339,0
0.00777778,126.173,3929.37,632.596,-208.265,0
0.00933333,121.319,3812.26,640.283,-210.748,0
0.0108889,116.651,3734.18,650.522,-209.436,0
0.0124444,112.314,3489.78,652.357,-221.926,0
0.014,108.583,3517.11,657.88,-216.72,0
0.0155556,108.286,3552.76,656.471,-218.917,0
0.0171111,107.036,3593.89,659.218,-207.886,0
0.0186667,104.467,3463.6,668.923,-200.42,0
0.0202222,102.808,3382.39,669.752,-194.736,0
0.0217778,103.683,3444.07,663.753,-213.101,0
0.0233333,103.685,3442.96,663.526,-210.027,0
0.0248889,104.324,3492.22,661.807,-210.667,0
0.0264444,104.43,3487.49,662.039,-208.585,0
0.028,105.468,3603.11,660.731,-207.765,0
0.0295556,105.565,3625.58,661.665,-206.576,0
0.0311111,105.134,3582.13,662.734,-205.97,0
0.0326667,103.92,3427.22,662.315,-213.215,0
0.0342222,104.933,3544.06,661.052,-211.029,0
0.0357778,104.871,3547.3,660.7,-211.092,0
0.0373333,104.59,3516.85,661.759,-210.113,0
0.0388889,104.748,3530.77,661.002,-212.084,0
0.0404444,105.087,3561.42,661.196,-208.974,0
0.042,105.317,3588.99,661.439,-208.646,0
0.0435556,105.394,3600.2,661.45,-208.58,0
0.0451111,105.742,3633.3,661.158,-207.245,0
0.0466667,105.622,3616.52,662.066,-206.494,0
0.0482222,105.058,3558.61,662.776,-206.291,0
0.0497778,105.112,3567.9,660.902,-207.844,0
0.0513333,105.141,3570.6,661.175,-206.519,0
0.0528889,104.643,3524.7,661.099,-210.989,0
0.0544444,104.447,3499.82,661.808,-211.668,0
0.056,103.873,3420.72,664.176,-206.352,0
0.0575556,103.916,3448.63,664.524,-203.336,0
0.0591111,104.229,3474.22,662.903,-205.096,0
0.0606667,104.865,3545.45,661.424,-208.006,0
0.0622222,104.885,3553.51,661.725,-207.718,0
0.0637778,105.013,3567.64,661.707,-207.199,0
0.0653333,105.293,3592.46,661.655,-205.745,0
0.0668889,105.594,3618.82,661.253,-206.321,0
0.0684444,105.273,3586.74,662.38,-204.416,0
0.07,116.074,4468.75,654.822,-172.511,0
0.0715556,138.281,7457.8,641.247,98.4001,0
0.0731111,151.528,10626.5,602.198,-171.983,0
0.0746667,152.794,10852.1,614.46,61.263,0
0.0762222,158.745,12207.3,606.588,33.0338,0
0.0777778,160.385,13243,607.436,-22.8746,0
0.0793333,161.352,13002.3,607.419,-7.30416,0
0.0808889,158.105,12300.8,610.256,2.66294,0
0.0824444,158.939,12859.2,607.933,-3.34874,0
0.084,158.964,12758.3,604.468,3.60241,0
0.0855556,159.609,12785.5,603.692,-0.998459,0
0.0871111,159.564,12962.8,606.225,3.47842,0
0.0886667,159.56,12997.5,608.263,-0.720982,0
0.0902222,159.507,12987.6,610.276,-1.28678,0
0.0917778,159.536,12981.3,610.204,1.62921,0
0.0933333,159.719,13005.7,609.95,0.710337,0
0.0948889,160.416,13117.4,608.897,-3.29826,0
0.0964444,160.825,13204.1,608.215,-2.95426,0
0.098,160.983,13210.2,608.058,-1.7693,0
0.0995556,160.957,13156.8,607.386,0.0265289,0
0.101111,161.512,13238.3,605.798,1.31868,0
0.102667,161.427,13227.4,605.226,1.11546,0
0.104222,161.335,13236.8,605.368,0.739973,0
0.105778,161.142,13202.1,605.851,0.405663,0
0.107333,161.144,13180,606.352,-0.0992744,0
0.108889,160.93,13202.9,606.5,-0.0847668,0
0.110444,160.69,13169.7,606.672,-0.0208904,0
0.112,160.705,13170,606.439,0.334092,0
0.113556,160.818,13191.4,605.945,0.743012,0
0.115111,161.033,13238.5,605.275,0.762224,0
0.116667,161.298,13298.2,604.523,0.590484,0
0.118222,161.648,13371.3,604.095,0.646127,0
0.119778,161.608,13359.5,604.551,0.632807,0
0.121333,161.474,13323.2,605.392,1.68998,0
0.122889,161.403,13297.9,605.649,3.29043,0
0.124444,161.404,13295.2,605.603,3.49946,0
0.126,161.448,13303.6,605.401,3.6017,0
0.127556,161.583,13332.4,605.072,3.37163,0
0.129111,162.042,13420.3,604.739,3.5828,0
0.130667,162.346,13472.4,604.508,3.83638,0
0.132222,162.707,13537.2,603.977,4.00456,0
0.133778,163.187,13615.9,603.226,4.10296,0
0.135333,163.475,13658.5,602.657,3.80808,0
0.136889,163.468,13654.1,602.323,3.04071,0
0.138444,163.404,13641.7,602.321,2.81987,0
0.14,163.261,13619.5,602.449,2.69809,0
0.141556,163.048,13585.4,602.761,2.61787,0
0.143111,162.841,13555.2,603.131,2.56354,0
0.144667,162.687,13539,603.492,2.44651,0
0.146222,162.575,13526.5,603.787,2.57346,0
0.147778,162.523,13528.3,603.899,2.95663,0
0.149333,162.522,13529.4,603.894,3.01867,0
0.150889,162.55,13536.3,603.799,3.09805,0
0.152444,162.617,13551.3,603.589,3.4225,0
0.154,162.712,13569.5,603.298,3.52002,0
