distance,T,p,U_0,U_1,U_2
0,223.256,2160.71,13.3653,3.28848,0
0.00153939,249.735,2128.4,18.2637,-5.28084,0
0.00307879,290.221,2012.06,-69.0588,8.45123,0
0.00461818,283.536,1830.43,-150.974,-1.62176,0
0.00615758,277.433,1710.1,-197.618,-0.589078,0
0.00769697,275.788,1731.75,-219.017,0.1842,0
0.00923636,276.295,1827.84,-230.942,0.931709,0
0.0107758,278.031,1989.31,-233.461,2.62185,0
0.0123152,281.339,2229.02,-224.329,2.30904,0
0.0138545,285.136,2457.64,-212.396,0.700876,0
0.0153939,292.096,2910.68,-183.676,-2.53253,0
0.0169333,300.473,3511.6,-141.728,-4.11255,0
0.0184727,307.337,4049.73,-110.922,-7.60505,0
0.0200121,316.242,5027.08,-58.2432,-5.3759,0
0.0215515,316.695,5463.75,-48.8427,-3.74207,0
0.0230909,317.727,6472.18,24.2683,-10.3205,0
0.0246303,317.014,7201.31,58.5846,-7.30532,0
0.0261697,314.24,7760.62,85.8786,-5.28265,0
0.0277091,311.278,8735.06,133.298,-4.30997,0
0.0292485,308.127,9212.73,161.986,-4.33703,0
0.0307879,306.764,9682.39,181.42,-2.38652,0
0.0323273,304.128,10131.6,198.16,-2.87876,0
0.0338667,298.973,10482,228.414,-3.03282,0
0.0354061,300.428,10934.2,235.558,-0.640353,0
0.0369455,298.677,11260.9,244.857,-0.954767,0
0.0384848,297.686,11614.5,256.276,-1.12595,0
0.0400242,297.494,12020.3,261.927,-0.980713,0
0.0415636,294.986,12000.1,271.096,-1.20073,0
0.043103,295.734,12169.9,271.489,-0.562752,0
0.0446424,295.425,12342.5,273.381,-0.514925,0
0.0461818,294.425,12426.6,278.676,-0.320767,0
0.0477212,294.988,12623.5,280.698,-0.240155,0
0.0492606,295.074,12817.1,281.505,-0.24502,0
0.0508,294.581,12832.8,282.924,-0.192784,0
0.0523394,293.966,12895,284.085,-0.00701974,0
0.0538788,294.183,13034.8,281.826,0.272582,0
0.0554182,294.23,13085,281.776,0.124681,0
0.0569576,293.963,13146.7,282.783,-0.182153,0
0.058497,294.212,13224.1,283.097,-0.179222,0
0.0600364,294.544,13352.3,283.705,-0.0229663,0
0.0615758,293.757,13342.3,284.954,-0.0122431,0
0.0631152,293.12,13339.9,284.972,-0.00879691,0
0.0646545,291.99,13377.6,283.772,-0.126714,0
0.0661939,291.052,13393.9,282.644,-0.296689,0
0.0677333,290.664,13361.3,282.974,-0.261677,0
0.0692727,290.789,13402.4,282.517,-0.202604,0
0.0708121,291.271,13469.4,281.996,-0.108142,0
0.0723515,290.94,13509,284.298,-0.111783,0
0.0738909,290.121,13418,289.104,-0.211034,0
0.0754303,289.914,13385.2,291.302,0.0481873,0
0.0769697,289.259,13429.9,289.746,0.247186,0
0.0785091,288.262,13456.2,287.784,0.459945,0
0.0800485,284.297,13302,287.985,0.462952,0
0.0815879,282.255,13266,287.636,0.477127,0
0.0831273,280.244,13242,287.711,0.386353,0
0.0846667,276.129,13264.9,286.862,0.347938,0
0.0862061,274.095,13319.9,285.4,0.379155,0
0.0877455,269.844,13483.7,280.765,0.501057,0
0.0892848,267.285,13496.4,279.045,0.352043,0
0.0908242,264.34,13449.5,279.471,0.288049,0
0.0923636,258.241,13322.7,279.88,0.253095,0
0.093903,254.996,13214,280.578,0.265582,0
0.0954424,251.813,13105.2,281.086,0.274916,0
0.0969818,245.961,12940.2,280.926,0.309972,0
0.0985212,243.249,12879.6,280.341,0.364884,0
0.100061,240.804,12875,280.011,0.347666,0
0.1016,236.342,12918.1,280.03,0.303341,0
0.103139,234.138,12952.5,280.36,0.292998,0
0.104679,231.922,12985.7,281.152,0.265026,0
0.106218,229.659,12997.8,281.967,0.265937,0
0.107758,225.226,12985.9,283.296,0.195895,0
0.109297,223.155,12966.4,283.92,0.188518,0
0.110836,221.227,12940.3,284.574,0.185308,0
0.112376,219.448,12906.4,285.227,0.167058,0
0.113915,216.342,12792.6,285.841,0.0989727,0
0.115455,215.246,12759.9,286.562,0.0407795,0
0.116994,214.441,12751.3,287.714,0.0220426,0
0.118533,214.071,12760.5,288.957,0.0401146,0
0.120073,213.865,12789.1,290.353,0.0322249,0
0.121612,213.776,12839.4,292.288,0.0307728,0
0.123152,213.881,12914.1,295.146,0.0222374,0
0.124691,215.798,13168.3,303.054,0.069216,0
0.12623,217.49,13354.4,307.943,0.0645994,0
0.12777,219.331,13538,313.944,0.0493605,0
0.129309,221.53,13709.6,320.21,0.0490425,0
0.130848,224.065,13885.3,325.958,0.115929,0
0.132388,226.698,14041.5,331.486,0.119682,0
0.133927,229.311,14156,336.91,0.109448,0
0.135467,231.824,14209.3,341.578,0.107095,0
0.137006,234.072,14212.8,345.184,0.124039,0
0.138545,236.102,14195.1,348.257,0.100986,0
0.140085,238.275,14156,350.8,0.0806155,0
0.141624,240.656,14095.4,352.732,0.0420664,0
0.143164,243.076,14030,354.117,0.0443452,0
0.144703,245.38,13964.8,355.314,0.0589428,0
0.146242,247.662,13902.7,356.527,0.0904981,0
0.147782,249.9,13845.8,357.983,0.0831003,0
0.149321,252.222,13799.6,359.63,0.102684,0
0.150861,254.561,13770,361.378,0.126362,0
0.1524,256.845,13766.9,363.269,0.135137,0
