distance,T,p,U_0,U_1,U_2
0,334.03,3361.04,1.89775,-0.240983,0
0.00153939,334.448,3383.28,8.39893,0.234728,0
0.00307879,329.872,3408.9,-0.0526984,2.75812,0
0.00461818,325.865,3383.38,-38.8646,4.16626,0
0.00615758,322.319,3276.54,-87.8615,-3.33275,0
0.00769697,318.657,3176.53,-122.338,-6.98873,0
0.00923636,316.181,3138.22,-146.493,-3.9737,0
0.0107758,314,3130.42,-165.552,-2.63862,0
0.0123152,312.826,3187.46,-177.934,-0.576923,0
0.0138545,312.43,3256.54,-182.042,2.45024,0
0.0153939,312.945,3425.93,-182.446,1.84093,0
0.0169333,314.179,3651.71,-176.341,1.1231,0
0.0184727,315.36,3837.89,-168.912,0.49011,0
0.0200121,317.656,4179.33,-153.15,-0.588133,0
0.0215515,319.622,4459.63,-138.92,-1.5005,0
0.0230909,322.66,4931.5,-112.838,-2.79329,0
0.0246303,325.293,5326.36,-92.8336,-4.0151,0
0.0261697,327.988,5766.47,-71.7956,-4.86723,0
0.0277091,331.053,6440.15,-41.0254,-2.59456,0
0.0292485,332.046,6888.62,-23.1875,1.64591,0
0.0307879,331.685,7340.8,-8.06623,-4.66425,0
0.0323273,331.534,7812.35,21.8177,-4.85421,0
0.0338667,331.023,8581.9,55.6582,-4.08098,0
0.0354061,330.913,9170.43,76.5672,-3.74378,0
0.0369455,330.607,9755.76,99.8343,-3.08996,0
0.0384848,328.996,10307.3,122.796,-3.36905,0
0.0400242,326.498,10738.2,143.429,-3.03224,0
0.0415636,323.451,11114.8,161.561,-2.77889,0
0.043103,319.936,11438.3,179.346,-2.80681,0
0.0446424,316.707,11711.6,196.884,-2.43073,0
0.0461818,313.362,11933.1,214.003,-2.12431,0
0.0477212,310.348,12178.6,229.047,-1.83521,0
0.0492606,307.458,12354.1,241.136,-1.49933,0
0.0508,305.949,12415.3,247.112,-1.44576,0
0.0523394,302.872,12438.4,260.099,-1.30661,0
0.0538788,300.673,12468.5,271.926,-1.01275,0
0.0554182,299.053,12529.3,282.727,-0.825,0
0.0569576,297.625,12595,292.955,-0.535913,0
0.058497,297.054,12660.2,296.615,-0.504834,0
0.0600364,295.691,12833,301.676,-0.682002,0
0.0615758,293.551,12942.8,307.117,-0.723906,0
0.0631152,292.401,12970.4,310.158,-0.674539,0
0.0646545,290.32,12971.3,316.055,-0.4265,0
0.0661939,288.409,12902.9,321.779,-0.265769,0
0.0677333,287.64,12869.1,324.371,-0.246325,0
0.0692727,286.528,12834.9,329.093,-0.264487,0
0.0708121,286.16,12832.2,331.428,-0.202671,0
0.0723515,286.054,12846.3,335.785,-0.0450173,0
0.0738909,286.431,12909.3,339.182,0.00898755,0
0.0754303,286.748,12958.6,340.592,0.0762572,0
0.0769697,287.462,13078.5,342.495,0.0184432,0
0.0785091,287.446,13124.3,343.6,-0.0383698,0
0.0800485,287.22,13162.5,346.251,-0.0665434,0
0.0815879,286.851,13156.2,347.671,-0.0713422,0
0.0831273,286.45,13147.9,348.743,-0.0422529,0
0.0846667,285.516,13119.4,350.009,-0.0214594,0
0.0862061,284.939,13092,350.291,0.00866736,0
0.0877455,283.686,13017.4,350.805,0.026094,0
0.0892848,283.239,12979.6,350.988,0.0760072,0
0.0908242,282.784,12944.5,351.363,0.0801612,0
0.0923636,281.834,12865.1,353.114,0.132317,0
0.093903,281.811,12844.7,354.285,0.148891,0
0.0954424,282.048,12857.6,355.345,0.146467,0
0.0969818,283.877,13041.6,354.614,0.158064,0
0.0985212,284.711,13152.6,354.342,0.113099,0
0.100061,285.06,13257.5,354.332,0.105737,0
0.1016,284.881,13276.3,355.003,0.0707448,0
0.103139,284.466,13259.1,355.446,0.0590777,0
0.104679,283.848,13226.2,355.903,0.0290071,0
0.106218,283.565,13233,355.98,0.0793663,0
0.107758,283.831,13299.3,355.952,-0.0669723,0
0.109297,284.343,13348.7,356.021,-0.00491048,0
0.110836,285.024,13383.3,355.993,0.0254742,0
0.112376,285.582,13429.4,356.103,0.0469327,0
0.113915,284.92,13402.5,356.15,0.20304,0
0.115455,284.71,13387.9,356.062,0.194832,0
0.116994,284.657,13375.1,356.209,0.179377,0
0.118533,284.698,13362.6,356.507,0.178388,0
0.120073,284.85,13359.2,356.681,0.135172,0
0.121612,285.059,13360.4,356.803,0.133447,0
0.123152,285.128,13356.3,357.042,0.109666,0
0.124691,284.839,13338.6,357.304,0.161919,0
0.12623,284.812,13341.6,357.177,0.17234,0
0.12777,284.975,13363.1,356.903,0.17468,0
0.129309,285.319,13397.5,356.615,0.153254,0
0.130848,285.741,13436.8,356.204,0.177483,0
0.132388,286.128,13467,355.831,0.108264,0
0.133927,286.31,13473.9,355.878,0.0891994,0
0.135467,286.338,13467.1,356.077,0.0667658,0
0.137006,286.339,13452.2,356.164,0.0596095,0
0.138545,286.265,13430.6,356.09,0.0636934,0
0.140085,286.158,13413.6,355.885,0.0549056,0
0.141624,286.092,13399.1,355.71,0.0588425,0
0.143164,286.081,13393.1,355.526,0.0726726,0
0.144703,286.137,13390.2,355.393,0.0810667,0
0.146242,286.248,13387.9,355.237,0.0939748,0
0.147782,286.41,13392.5,354.952,0.131617,0
0.149321,286.622,13392.2,354.64,0.125513,0
0.150861,286.836,13385.7,354.694,0.105055,0
0.1524,287.087,13377.1,354.834,0.0881945,0
