distance,T,p,U_0,U_1,U_2
0.00155556,234.237,13431.7,402.117,0.644668,0
0.00311111,174.993,6384.56,538.504,-152.997,0
0.00466667,146.207,4065.51,589.654,-208.656,0
0.00622222,137.873,4176.75,608.963,-212.141,0
0.00777778,127.675,3810.97,627.747,-219.851,0
0.00933333,119.961,3736.44,639.483,-217.781,0
0.0108889,116.612,3715.23,653.549,-200.581,0
0.0124444,112.575,3591.37,655.131,-207.581,0
0.014,108.024,3465.68,659.834,-208.867,0
0.0155556,108.093,3558.59,659.631,-210.146,0
0.0171111,106.932,3617.65,661.669,-206.472,0
0.0186667,106.101,3622.85,661.012,-212.343,0
0.0202222,103.875,3419.4,671.514,-190.903,0
0.0217778,104.608,3539.86,663.117,-208.539,0
0.0233333,105.715,3655.58,661.091,-206.586,0
0.0248889,105.53,3622.34,663.695,-204.171,0
0.0264444,104.588,3522.17,663.858,-206.87,0
0.028,105.194,3586.96,661.442,-207.419,0
0.0295556,105.46,3622.42,661.631,-204.827,0
0.0311111,105.281,3602.97,661.887,-204.382,0
0.0326667,103.104,3338.24,661.172,-218.611,0
0.0342222,105.152,3572.79,660.929,-211.474,0
0.0357778,105.062,3550.5,661.45,-210.528,0
0.0373333,104.591,3478.59,661.675,-211.685,0
0.0388889,104.431,3475.22,659.961,-212.786,0
0.0404444,104.993,3559.5,660.437,-209.316,0
0.042,105.782,3657.21,663.521,-199.867,0
0.0435556,106.418,3740.19,663.834,-198.865,0
0.0451111,106.002,3686.56,662.757,-203.08,0
0.0466667,105.557,3629.11,662.598,-204.15,0
0.0482222,105.449,3617.44,662.439,-205.828,0
0.0497778,105.446,3612.81,662.381,-206.337,0
0.0513333,105.352,3598.68,661.729,-207.279,0
0.0528889,104.974,3556.67,661.732,-208.196,0
0.0544444,104.911,3557.36,661.479,-210.223,0
0.056,104.714,3528.43,662.429,-211.158,0
0.0575556,104.276,3490.85,664.426,-207.551,0
0.0591111,104.218,3465.55,664.159,-209.242,0
0.0606667,104.382,3467.9,663.58,-209.663,0
0.0622222,104.785,3514.74,661.321,-211.359,0
0.0637778,104.788,3521.45,661.32,-210.583,0
0.0653333,104.903,3540.45,661.588,-208.589,0
0.0668889,105.103,3556.33,661.498,-206.124,0
0.0684444,105.288,3583.72,660.9,-207.414,0
0.07,113.166,4330.71,657.033,-181.19,0
0.0715556,157.418,12612.5,610.933,-99.5485,0
0.0731111,161.292,14442.5,605.319,-93.3675,0
0.0746667,158.102,12781.3,607.877,-48.356,0
0.0762222,155.155,11397.7,617.84,-5.4318,0
0.0777778,161.452,12803.6,610.145,-5.0206,0
0.0793333,162.531,13194.9,609.185,-8.13214,0
0.0808889,162.403,13269.6,605.359,-7.81457,0
0.0824444,159.11,12551.1,609.697,-3.70022,0
0.084,160.891,13190.9,606.025,-6.03161,0
0.0855556,161.266,13134,605.329,-3.55108,0
0.0871111,160.221,12907.4,608.129,-4.17233,0
0.0886667,160.893,13094.6,607.361,-4.60862,0
0.0902222,161.349,13231.8,607.513,-4.83754,0
0.0917778,161.258,13218.8,607.379,-2.62319,0
0.0933333,161.303,13218.2,606.543,-1.60522,0
0.0948889,162.068,13402.8,604.822,-4.80358,0
0.0964444,162.255,13471.9,605.094,-5.22065,0
0.098,161.777,13336.1,606.694,-3.33478,0
0.0995556,161.308,13175.2,606.311,0.971341,0
0.101111,162.036,13274.2,603.93,2.90224,0
0.102667,161.781,13332.3,603.163,0.207834,0
0.104222,161.407,13310.5,603.59,-0.631756,0
0.105778,160.834,13228.3,604.742,-0.829659,0
0.107333,160.278,13169.4,605.103,0.107063,0
0.108889,159.93,13168,606.771,0.223523,0
0.110444,160.129,13244.7,607.377,2.31121,0
0.112,160.478,13325.5,606.972,3.25047,0
0.113556,160.964,13422.7,605.985,3.58919,0
0.115111,161.441,13514,604.682,3.98758,0
0.116667,161.724,13509.8,603.634,2.94745,0
0.118222,161.671,13459,603.62,2.21068,0
0.119778,161.652,13442.7,603.838,1.83404,0
0.121333,161.686,13450.2,603.912,1.41727,0
0.122889,161.779,13466.4,604.031,1.44314,0
0.124444,161.867,13467.3,604.09,2.33412,0
0.126,162.094,13497.2,603.878,2.88646,0
0.127556,162.449,13556.4,603.362,3.53051,0
0.129111,163.381,13734.5,601.657,5.33613,0
0.130667,163.532,13752.9,600.968,5.61694,0
0.132222,163.487,13738.7,600.829,6.00948,0
0.133778,163.386,13716.8,600.879,6.03572,0
0.135333,163.247,13685.7,601.071,6.01712,0
0.136889,163.13,13676.6,601.36,6.02703,0
0.138444,163.055,13687.9,601.53,5.5123,0
0.14,163.063,13707.9,601.487,5.39471,0
0.141556,163.131,13744.6,601.235,5.21077,0
0.143111,163.318,13810.3,600.652,4.92707,0
0.144667,163.515,13865.7,599.949,4.76731,0
0.146222,163.702,13913.4,599.269,5.09941,0
0.147778,163.792,13904.9,598.97,5.35087,0
0.149333,163.855,13884.1,598.828,5.34257,0
0.150889,163.921,13866.7,598.699,5.36102,0
0.152444,163.97,13854.5,598.6,5.3381,0
0.154,163.993,13845.3,598.507,5.16333,0
