x,y,z,T,p,U_0,U_1,U_2
0,0.05,0,288.9,101350,851.84,0,0
0.00411892,0.0511037,4.33681e-19,288.9,101350,851.84,0,0
0.00823784,0.0522073,0,288.9,101350,851.84,0,0
0.0123568,0.053311,-4.33681e-19,288.9,101350,851.84,0,0
0.0164757,0.0544146,0,288.9,101350,851.84,0,0
0.0205946,0.0555183,4.06576e-19,288.9,101350,851.84,0,0
0.0247135,0.056622,5.42101e-19,288.9,101350,851.84,0,0
0.0288324,0.0577256,3.25261e-19,288.9,101350,851.84,0,0
0.0329514,0.0588293,-3.25261e-19,288.9,101350,851.84,0,0
0.0370703,0.0599329,0,288.9,101350,851.84,0,0
0.0411892,0.0610366,6.50521e-19,288.9,101350,851.84,0,0
0.0453081,0.0621403,-2.1684e-19,288.9,101350,851.84,0,0
0.049427,0.0632439,4.06576e-20,288.9,101350,851.84,0,0
0.0535459,0.0643476,5.96311e-19,288.9,101350,851.84,0,0
0.0576649,0.0654513,5.42101e-19,288.9,101350,851.84,0,0
0.0617838,0.0665549,4.33681e-19,288.9,101350,851.84,0,0
0.0659027,0.0676586,-1.30104e-18,288.9,101350,851.84,0,0
0.0700216,0.0687622,2.1684e-19,288.9,101350,851.84,0,0
0.0741405,0.0698659,2.1684e-19,288.9,101350,851.84,0,0
0.0782595,0.0709696,4.33681e-19,288.9,101350,851.84,0,0
0.0823784,0.0720732,4.33681e-19,288.9,101350,851.84,0,0
0.0864973,0.0731769,9.48677e-19,288.9,101350,851.84,0,0
0.0906162,0.0742805,-4.33681e-19,288.9,101350,851.84,0,0
0.0947351,0.0753842,2.1684e-19,288.9,101350,851.84,0,0
0.0988541,0.0764879,4.33681e-19,288.9,101350,851.84,0,0
0.102973,0.0775915,1.6263e-19,288.9,101350,851.84,0,0
0.107092,0.0786952,-1.6263e-19,288.9,101350,851.84,0,0
0.111211,0.0797988,8.55503e-20,288.9,101350,851.84,0,0
0.11533,0.0809025,1.0842e-19,288.9,101350,851.84,0,0
0.119449,0.0820062,0,288.9,101350,851.84,0,0
0.123568,0.0831098,2.1684e-19,288.9,101350,851.84,0,0
0.127686,0.0842135,4.33681e-19,288.9,101350,851.84,0,0
0.131805,0.0853171,2.1684e-19,288.9,101350,851.84,0,0
0.135924,0.0864208,0,288.9,101350,851.84,0,0
0.140043,0.0875245,-2.98156e-19,288.9,101350,851.84,0,0
0.144162,0.0886281,-3.79471e-19,288.9,101350,851.84,0,0
0.148281,0.0897318,6.36969e-19,288.9,101350,851.84,0,0
0.1524,0.0908355,2.1684e-19,288.9,101350,851.84,0,0
0.156519,0.0919391,4.33681e-19,288.9,101350,851.84,0,0
0.160638,0.0930428,0,288.9,101350,851.84,0,0
0.164757,0.0941464,7.58942e-19,288.9,101350,851.84,0,0
0.168876,0.0952501,1.0842e-19,288.9,101350,851.84,0,0
0.172995,0.0963538,5.42101e-20,288.9,101350,851.84,0,0
0.177114,0.0974574,1.0842e-19,288.9,101350,851.84,0,0
0.181232,0.0985611,8.13152e-19,288.9,101350,851.84,0,0
0.185351,0.0996647,-4.33681e-19,288.9,101350,851.84,0,0
0.18947,0.100768,-2.1684e-19,288.9,101350,851.84,0,0
0.193589,0.101872,1.0842e-19,288.9,101350,851.84,0,0
0.197708,0.102976,-2.1684e-19,288.9,101350,851.84,0,0
0.201827,0.104079,2.1684e-19,288.9,101350,851.84,0,0
0.205946,0.105183,-4.33681e-19,288.9,101350,851.84,0,0
0.210065,0.106287,-8.67362e-19,288.9,101350,851.84,0,0
0.214184,0.10739,-4.33681e-19,288.9,101350,851.84,0,0
0.218303,0.108494,2.1684e-19,288.9,101350,851.84,0,0
0.222422,0.109598,0,288.9,101350,851.84,0,0
0.226541,0.110701,3.25261e-19,288.9,101350,851.84,0,0
0.230659,0.111805,-5.42101e-20,288.9,101350,851.84,0,0
0.234778,0.112909,4.33681e-19,288.9,101350,851.84,0,0
0.238897,0.114012,0,288.9,101350,851.84,0,0
0.243016,0.115116,2.1684e-19,288.9,101350,851.84,0,0
0.247135,0.11622,-2.1684e-19,288.9,101350,851.84,0,0
0.251254,0.117323,-4.33681e-19,288.9,101350,851.84,0,0
0.255373,0.118427,-6.50521e-19,288.9,101350,851.84,0,0
0.259492,0.119531,-6.50521e-19,288.9,101350,851.84,0,0
0.263611,0.120634,4.33681e-19,288.9,101350,851.84,0,0
0.26773,0.121738,0,288.9,101350,851.84,0,0
0.271849,0.122842,0,288.9,101350,851.84,0,0
0.275968,0.123945,4.33681e-19,288.9,101350,851.84,0,0
0.280086,0.125049,0,288.9,101350,851.84,0,0
0.284205,0.126153,4.33681e-19,288.9,101350,851.84,0,0
0.288324,0.127256,4.87891e-19,288.9,101350,851.84,0,0
0.292443,0.12836,4.33681e-19,288.9,101350,851.84,0,0
0.296562,0.129464,-4.33681e-19,288.9,101350,851.84,0,0
0.300681,0.130567,-4.33681e-19,288.9,101350,851.84,0,0
0.3048,0.131671,4.33681e-19,288.9,101350,851.84,0,0
