distance,T,p,U_0,U_1,U_2
0.00155556,233.678,13383.3,402.849,-0.953458,0
0.00311111,158.776,4557.66,545.504,-223.283,0
0.00466667,141.556,4202.58,597.933,-196.674,0
0.00622222,132.121,3938.77,611.443,-216.183,0
0.00777778,131.478,4265,626.272,-196.951,0
0.00933333,123.231,3968.27,638.442,-208.619,0
0.0108889,113.661,3560.25,658.71,-203.029,0
0.0124444,109.365,3296.47,657.349,-207.169,0
0.014,107.398,3309.86,660.91,-210.218,0
0.0155556,106.839,3416.81,663.144,-206.001,0
0.0171111,105.549,3451.03,664.57,-207.226,0
0.0186667,105.116,3533.82,660.151,-209.514,0
0.0202222,105.816,3599.88,660.932,-209.941,0
0.0217778,104.428,3496.09,663.41,-207.788,0
0.0233333,104.99,3559.15,660.409,-213.258,0
0.0248889,105.417,3611.96,660.863,-209.583,0
0.0264444,105.142,3581.15,662.89,-208.429,0
0.028,104.049,3451.82,665.938,-203.5,0
0.0295556,105.291,3580.86,663.96,-204.903,0
0.0311111,105.86,3648.26,660.929,-205.762,0
0.0326667,103.797,3413.39,662.211,-214.742,0
0.0342222,104.079,3477.03,663.342,-209.446,0
0.0357778,104.649,3532.53,662.501,-206.657,0
0.0373333,104.845,3542.18,664.231,-202.637,0
0.0388889,105.197,3568.8,662.328,-208.199,0
0.0404444,105.131,3561.23,661.142,-210.087,0
0.042,105.273,3596.67,660.189,-209.311,0
0.0435556,105.621,3638.06,661.197,-205.372,0
0.0451111,105.032,3572.1,662.468,-206.41,0
0.0466667,105.201,3595.92,661.486,-208.243,0
0.0482222,105.57,3635.51,661.428,-206.496,0
0.0497778,105.77,3651.13,661.47,-203.982,0
0.0513333,105.871,3663.22,662.113,-202.777,0
0.0528889,105.918,3663.58,662.681,-202.258,0
0.0544444,105.688,3640.71,661.821,-203.941,0
0.056,105.961,3664.72,660.723,-204.478,0
0.0575556,105.892,3654.58,661.325,-203.479,0
0.0591111,105.58,3626.69,662.775,-201.506,0
0.0606667,105.734,3644.11,662.432,-202.041,0
0.0622222,105.894,3649.92,661.256,-204.627,0
0.0637778,105.931,3650.12,661.17,-205.354,0
0.0653333,105.538,3606.6,662.299,-208.073,0
0.0668889,105.131,3562.78,661.905,-208.744,0
0.0684444,105.279,3580.22,661.788,-206.899,0
0.07,105.466,3606.79,661.717,-205.018,0
0.0715556,113.046,4293.85,657.708,-182.065,0
0.0731111,133.528,7871.63,631.328,-145.887,0
0.0746667,158.007,11868.1,614.043,-55.514,0
0.0762222,157.805,12605.6,608.264,-27.4479,0
0.0777778,154.924,11514.1,616.323,-1.29463,0
0.0793333,156.596,12028,615.29,4.29406,0
0.0808889,158.801,12455.5,608.426,-1.39547,0
0.0824444,161.503,13179.7,606.442,-7.12712,0
0.084,160.339,13000.7,612.201,-6.53264,0
0.0855556,158.871,12770.8,612.191,-2.89627,0
0.0871111,159.195,12955.6,611.389,-4.4231,0
0.0886667,158.366,12791.5,612.357,-1.97604,0
0.0902222,158.262,12714.8,612.93,1.1476,0
0.0917778,158.907,12795.8,611.04,1.36559,0
0.0933333,159.499,12868.3,608.672,0.656934,0
0.0948889,160.14,12983.7,606.704,-1.13289,0
0.0964444,160.012,12950.4,607.218,-1.39617,0
0.098,159.707,12889.6,608.279,0.461791,0
0.0995556,160.063,13014.7,608.981,1.2971,0
0.101111,160.423,13051.6,608.836,-0.171128,0
0.102667,160.655,13207.5,609.208,-0.68611,0
0.104222,160.663,13251.4,608.656,-2.3019,0
0.105778,160.488,13221.8,608.68,-2.06857,0
0.107333,160.492,13174.7,608.096,-2.38967,0
0.108889,160.087,13156.4,608.814,-1.44214,0
0.110444,160.12,13130.8,608.657,-2.15691,0
0.112,160.23,13138,608.501,-2.40062,0
0.113556,160.363,13135.9,608.366,-2.26547,0
0.115111,160.392,13118.4,608.179,-2.33229,0
0.116667,160.48,13130.5,607.7,-1.51721,0
0.118222,160.727,13199.5,606.307,-0.395012,0
0.119778,160.693,13212.1,606.028,-0.043353,0
0.121333,160.657,13216.3,606.061,-0.0151752,0
0.122889,160.598,13206.8,606.319,-0.409349,0
0.124444,160.519,13197,606.775,-0.325909,0
0.126,160.546,13206.4,606.998,-0.205218,0
0.127556,160.621,13227,606.931,-0.191618,0
0.129111,160.923,13308.5,606.267,0.0563653,0
0.130667,161.121,13360.2,605.689,0.368526,0
0.132222,161.274,13400.7,605.41,1.56441,0
0.133778,161.288,13412.9,605.503,1.7792,0
0.135333,161.222,13396.1,605.835,1.79021,0
0.136889,161.17,13384.2,606.169,2.65864,0
0.138444,161.193,13392.2,606.207,1.74856,0
0.14,161.236,13399.4,606.273,1.6443,0
0.141556,161.222,13388.3,606.412,1.47713,0
0.143111,161.213,13368.2,606.521,1.21032,0
0.144667,161.245,13349.5,606.583,1.13371,0
0.146222,161.335,13331.2,606.675,1.08228,0
0.147778,161.472,13315,606.755,1.00666,0
0.149333,161.688,13329.6,606.692,1.13519,0
0.150889,161.895,13354.6,606.627,1.17474,0
0.152444,162.095,13386.6,606.47,1.1584,0
0.154,162.339,13442.5,606.211,1.16314,0
