distance,T,p,U_0,U_1,U_2
0.00155556,234.309,13431.6,402.186,1.09824,0
0.00311111,154.715,4541.23,548.754,-231.161,0
0.00466667,143.407,4389.19,574.154,-253.345,0
0.00622222,131.552,3917.62,612.627,-210.819,0
0.00777778,127.198,3919.8,630.147,-209.269,0
0.00933333,121.325,3745.23,638.607,-219.957,0
0.0108889,113.784,3427.59,652.965,-202.625,0
0.0124444,112.763,3480.23,653.351,-206.9,0
0.014,107.953,3454.61,661.677,-202.993,0
0.0155556,106.302,3462.91,662.54,-206.357,0
0.0171111,102.94,3255.07,668.527,-196.527,0
0.0186667,103.86,3434.65,663.917,-206.468,0
0.0202222,105.047,3548.89,661.093,-210.566,0
0.0217778,103.333,3370.5,659.902,-225.848,0
0.0233333,103.319,3379.7,669.559,-196.127,0
0.0248889,106.449,3747.54,662.081,-199.197,0
0.0264444,105.963,3668.32,662.25,-201.472,0
0.028,105.092,3582.9,666.013,-199.088,0
0.0295556,104.283,3488.95,664.354,-210.801,0
0.0311111,104.165,3470.14,662.237,-210.723,0
0.0326667,104.146,3454.51,661.234,-215.118,0
0.0342222,105.214,3583.11,662.957,-202.823,0
0.0357778,104.95,3554.29,662.406,-207.264,0
0.0373333,105.084,3565.14,662.249,-206.241,0
0.0388889,105.497,3621.03,661.493,-206.919,0
0.0404444,105.539,3636.42,661.555,-205.221,0
0.042,105.668,3642.71,661.07,-205.275,0
0.0435556,105.406,3600.02,662.335,-203.415,0
0.0451111,105.006,3565.54,663.484,-203.037,0
0.0466667,105.102,3581.38,661.956,-206.526,0
0.0482222,105.208,3579.1,661.403,-207.369,0
0.0497778,104.853,3525.47,662.762,-207.57,0
0.0513333,104.702,3504.25,661.892,-209.047,0
0.0528889,105.139,3560.24,660.406,-208.727,0
0.0544444,105.217,3579.35,660.75,-208.475,0
0.056,105.254,3584.92,661.595,-206.759,0
0.0575556,105.33,3593.22,661.95,-206.226,0
0.0591111,105.326,3590.78,662.798,-205.141,0
0.0606667,105.428,3595.41,661.942,-206.811,0
0.0622222,105.502,3599.75,661.654,-206.673,0
0.0637778,105.566,3608.31,661.786,-205.867,0
0.0653333,105.933,3654.73,662.312,-203.62,0
0.0668889,106.224,3690.12,661.807,-202.769,0
0.0684444,106.201,3687.01,661.397,-202.722,0
0.07,105.67,3623.66,661.699,-204.464,0
0.0715556,111.182,4124.29,656.852,-194.807,0
0.0731111,132.142,6813.47,644.579,-114.446,0
0.0746667,152.397,11197.5,620.808,-45.4038,0
0.0762222,154.323,11440.8,618.724,28.8075,0
0.0777778,161.625,13031.2,606.762,-17.5709,0
0.0793333,160.691,13278.5,608.376,-0.342761,0
0.0808889,161.011,13208.2,605.938,-13.9102,0
0.0824444,160.273,13119,609.275,-15.456,0
0.084,158.628,12415,611.284,-1.98996,0
0.0855556,158.991,12632.3,610.822,1.67391,0
0.0871111,159.999,12871.5,610.105,-4.85052,0
0.0886667,160.486,13011.1,609.561,-5.09212,0
0.0902222,161.265,13225.3,608.315,-5.39287,0
0.0917778,161.168,13224.8,608.519,-4.25327,0
0.0933333,160.597,13109,609.131,-3.01913,0
0.0948889,160.234,13102.1,609.197,-2.84537,0
0.0964444,160.163,13094.7,609.464,-2.45414,0
0.098,159.975,13053.2,609.648,-0.966972,0
0.0995556,159.937,13038.3,608.478,-1.31245,0
0.101111,160.515,13109.6,608.049,-3.45808,0
0.102667,160.119,13087.3,608.226,-3.18595,0
0.104222,160.064,13063.3,608.486,-0.458763,0
0.105778,160.201,13088.2,608.368,0.0990969,0
0.107333,160.759,13159,608.032,-0.041287,0
0.108889,160.929,13211.2,607.379,0.402172,0
0.110444,161.206,13253,607.278,-0.284401,0
0.112,161.081,13214.3,607.372,0.105403,0
0.113556,160.984,13200.5,607.29,0.502956,0
0.115111,160.861,13194.8,607.294,0.687714,0
0.116667,160.676,13183.3,607.404,0.84749,0
0.118222,160.514,13200.5,607.419,1.6965,0
0.119778,160.436,13194.7,607.488,1.69981,0
0.121333,160.375,13186.5,607.622,1.85605,0
0.122889,160.304,13169.9,607.681,1.68356,0
0.124444,160.288,13156.5,607.573,1.53694,0
0.126,160.314,13160.7,607.276,1.37788,0
0.127556,160.391,13176.7,606.883,0.941957,0
0.129111,160.651,13219,606.33,0.840277,0
0.130667,160.873,13253.3,606.029,1.08647,0
0.132222,161.107,13288.4,605.805,1.72945,0
0.133778,161.41,13347.2,605.478,2.35243,0
0.135333,161.808,13424.8,605.157,3.2486,0
0.136889,161.82,13446.7,605.205,2.89117,0
0.138444,161.774,13443.2,605.275,2.57291,0
0.14,161.67,13431.9,605.439,2.29778,0
0.141556,161.535,13415.8,605.733,2.22309,0
0.143111,161.377,13394.7,606.194,2.03579,0
0.144667,161.171,13366.9,606.647,1.45646,0
0.146222,161.072,13356.5,606.952,1.38751,0
0.147778,161.076,13356.8,607.147,1.49883,0
0.149333,161.095,13358.1,607.156,1.56405,0
0.150889,161.155,13363.9,607.089,1.61929,0
0.152444,161.262,13374.1,606.893,1.63044,0
0.154,161.404,13385.3,606.571,1.49744,0
