distance,T,p,U_0,U_1,U_2
0.00155556,236.865,13336.1,394.288,0.41243,0
0.00311111,167.399,5180.04,549.373,-167.938,0
0.00466667,149.24,4374.14,581.873,-207.278,0
0.00622222,140.339,4287.67,606.422,-202.739,0
0.00777778,130.164,4135.22,625.993,-204.291,0
0.00933333,123.282,4064.48,640.056,-201.352,0
0.0108889,117.592,3967.79,649.61,-201.64,0
0.0124444,112.892,3841.07,656.651,-200.919,0
0.014,110.265,3789.84,659.439,-201.44,0
0.0155556,108.721,3743.26,661.055,-202.207,0
0.0171111,107.927,3731.76,661.369,-202.743,0
0.0186667,105.798,3599.89,663.011,-206.759,0
0.0202222,104.262,3477.22,664.118,-210.344,0
0.0217778,105.33,3517.97,660.227,-213.883,0
0.0233333,106.845,3612.54,658.618,-211.51,0
0.0248889,107.162,3693.1,660.34,-203.675,0
0.0264444,105.184,3652.55,663.278,-203.792,0
0.028,105.289,3647.81,663.16,-203.004,0
0.0295556,104.556,3599.75,663.506,-205.347,0
0.0311111,103.688,3471.3,662.677,-212.401,0
0.0326667,101.451,3192.09,662.705,-224.109,0
0.0342222,106.159,3639.18,661.626,-205.967,0
0.0357778,104.8,3606.16,664.499,-204.97,0
0.0373333,104.479,3572.31,663.826,-206.853,0
0.0388889,104.012,3515.11,663.455,-208.572,0
0.0404444,105.358,3535.57,660.57,-210.858,0
0.042,105.271,3540.04,662.178,-207.191,0
0.0435556,104.512,3551.61,663.403,-207.18,0
0.0451111,105.069,3609.14,663.367,-205.536,0
0.0466667,105.459,3634.41,662.885,-205.293,0
0.0482222,105.545,3629.61,663.041,-204.64,0
0.0497778,105.701,3632.44,662.837,-204.847,0
0.0513333,105.763,3633.38,662.615,-205.286,0
0.0528889,105.281,3590.04,662.81,-206.524,0
0.0544444,105.816,3604.69,661.224,-207.732,0
0.056,105.21,3591.01,662.508,-206.107,0
0.0575556,105.035,3602.81,662.569,-205.604,0
0.0591111,105.39,3633.18,662.285,-204.201,0
0.0606667,104.411,3561.98,663.088,-207.037,0
0.0622222,109.919,3907.96,657.37,-198.986,0
0.0637778,118.546,4782.22,652.88,-169.73,0
0.0653333,150.69,8973.02,620.143,-75.7715,0
0.0668889,154.671,11598.4,612.76,-33.7241,0
0.0684444,156.349,11888.3,607.968,-27.8022,0
0.07,155.413,11747.7,608.412,-17.144,0
0.0715556,156.059,11905.9,604.675,-15.4587,0
0.0731111,155.263,11839,605.152,-13.6564,0
0.0746667,156.584,12042.1,601.649,-12.4448,0
0.0762222,157.161,12252.6,599.553,-14.5104,0
0.0777778,158.598,12544.4,596.068,-14.5036,0
0.0793333,158.409,12545,595.539,-12.9344,0
0.0808889,158.784,12579.3,594.972,-8.66472,0
0.0824444,159.416,12667.9,594.722,-8.25182,0
0.084,160.347,12877.6,593.39,-6.4032,0
0.0855556,160.445,12938.8,592.756,-4.8332,0
0.0871111,160.845,13058,593.655,-2.66099,0
0.0886667,161.161,13132.4,593.725,-1.85633,0
0.0902222,161.29,13193.7,594.196,-0.805488,0
0.0917778,161.53,13266,595.105,1.67241,0
0.0933333,161.628,13291.4,595.68,2.64014,0
0.0948889,161.911,13381.4,596.776,4.07249,0
0.0964444,162.148,13441.6,597.221,5.06138,0
0.098,162.315,13488.9,597.882,6.10442,0
0.0995556,162.32,13514,599.831,8.13214,0
0.101111,162.559,13526,600.267,8.88064,0
0.102667,162.296,13522,602.068,8.72418,0
0.104222,162.1,13480.6,604.627,8.58921,0
0.105778,161.955,13455.7,605.966,8.50276,0
0.107333,162.258,13472.9,606.449,9.454,0
0.108889,161.882,13456.3,608.183,9.2397,0
0.110444,161.845,13468.9,610.229,9.30898,0
0.112,161.768,13462.4,611.32,9.12147,0
0.113556,161.72,13445.2,612.319,8.55968,0
0.115111,161.506,13405.3,613.593,8.02322,0
0.116667,161.343,13359.4,614.711,7.20005,0
0.118222,161.001,13271.5,616.802,5.63693,0
0.119778,160.749,13232.9,617.842,4.91522,0
0.121333,160.736,13210.1,618.429,3.95919,0
0.122889,160.572,13184.3,619.245,3.074,0
0.124444,160.588,13166.5,619.579,1.99869,0
0.126,160.402,13138.2,620.235,1.02612,0
0.127556,160.287,13111.4,620.512,0.0261419,0
0.129111,159.932,13059.5,620.813,-1.99983,0
0.130667,159.793,13050,620.722,-3.11758,0
0.132222,159.824,13050.2,620.414,-4.31376,0
0.133778,159.832,13052.1,619.873,-5.41513,0
0.135333,159.794,13058.7,619.208,-6.65424,0
0.136889,159.884,13079.5,618.054,-7.42513,0
0.138444,159.938,13109,616.709,-8.45506,0
0.14,160.064,13145.8,615.095,-8.72219,0
0.141556,160.302,13201.5,613.163,-9.32867,0
0.143111,160.391,13243.8,611.415,-8.90246,0
0.144667,160.853,13335.2,609.073,-9.02512,0
0.146222,160.853,13365.9,607.477,-8.01085,0
0.147778,161.301,13463.9,605.097,-7.74393,0
0.149333,161.221,13483.3,603.819,-6.37128,0
0.150889,161.855,13603.2,601.443,-5.79434,0
0.152444,161.846,13640.7,600.213,-4.44542,0
0.154,162.148,13711.9,598.498,-3.62517,0
