distance,T,p,U_0,U_1,U_2
0.00155556,234.267,13425.6,402.327,0.780981,0
0.00311111,164.502,5646.21,551.746,-158.926,0
0.00466667,147.113,4264.03,585.276,-221.719,0
0.00622222,138.443,4359,607.759,-208.512,0
0.00777778,128.009,3844.39,628.407,-212.876,0
0.00933333,121.909,3917.15,639.858,-214.796,0
0.0108889,114.413,3554.75,649.461,-221.86,0
0.0124444,111.581,3543.38,657.12,-208.823,0
0.014,108.004,3385.45,659.147,-216.501,0
0.0155556,103.181,3098.74,673.713,-184.626,0
0.0171111,105.346,3484.08,663.469,-211.584,0
0.0186667,105.427,3568.28,660.603,-216.883,0
0.0202222,105.569,3593.42,661.342,-209.086,0
0.0217778,105.572,3582.56,659.712,-208.568,0
0.0233333,105.7,3603.55,659.691,-210.566,0
0.0248889,104.016,3454.62,663.935,-212.681,0
0.0264444,103.617,3420.06,662.052,-214.75,0
0.028,104.689,3535.1,660.192,-211.359,0
0.0295556,104.853,3551.55,661.767,-209.932,0
0.0311111,104.42,3503.25,662.629,-209.412,0
0.0326667,102.756,3319.13,662.047,-217.295,0
0.0342222,104.776,3537.24,660.409,-207.633,0
0.0357778,104.94,3552.18,660.441,-209.846,0
0.0373333,105.111,3572.41,662.37,-208.319,0
0.0388889,104.965,3556.3,664.173,-205.04,0
0.0404444,105.499,3614.98,661.917,-206.987,0
0.042,105.817,3652.3,662.47,-203.209,0
0.0435556,105.776,3649.38,661.908,-203.133,0
0.0451111,105.913,3662.38,660.947,-203.391,0
0.0466667,105.965,3663.83,660.818,-204.034,0
0.0482222,105.433,3609.51,661.788,-206.531,0
0.0497778,104.909,3557.18,662.373,-207.115,0
0.0513333,104.819,3537.81,661.005,-209.981,0
0.0528889,104.912,3531.65,661.265,-211.019,0
0.0544444,104.804,3516.51,662.077,-211.24,0
0.056,105.018,3552.14,661.325,-209.458,0
0.0575556,105.096,3564.53,661.43,-208.452,0
0.0591111,105.107,3565.19,661.33,-208.628,0
0.0606667,105.307,3586.49,660.97,-209.266,0
0.0622222,105.573,3610.32,661.385,-208.494,0
0.0637778,105.583,3610.24,661.781,-208.259,0
0.0653333,105.585,3609.88,661.555,-208.097,0
0.0668889,105.515,3598.96,661.096,-207.544,0
0.0684444,105.442,3590.1,660.965,-207.986,0
0.07,104.799,3519.34,661.949,-207.473,0
0.0715556,123.657,5455.15,641.567,-176.007,0
0.0731111,142.592,7877.3,633.778,-7.00598,0
0.0746667,151.848,11014,621.284,37.4,0
0.0762222,155.447,11964,617.594,13.433,0
0.0777778,162.424,13338.2,609.909,-6.80713,0
0.0793333,163.114,13108.2,604.969,-10.559,0
0.0808889,159.824,12881.2,607.34,-14.7386,0
0.0824444,156.501,12351.8,613.505,1.43397,0
0.084,157.844,12558,611.806,3.4786,0
0.0855556,159.773,12834.1,607.999,4.99686,0
0.0871111,160.481,13088.1,607.05,-6.25779,0
0.0886667,159.207,12909.4,608.233,-3.68832,0
0.0902222,159.236,12972.4,607.693,-3.65269,0
0.0917778,160.37,13320.7,605.604,-5.70882,0
0.0933333,159.939,13167.8,607.087,-5.40477,0
0.0948889,159.214,12866.1,608.363,0.391312,0
0.0964444,159.765,13016.1,606.995,-0.878306,0
0.098,160.292,13149,606.938,-2.77293,0
0.0995556,160.142,13055.5,608.188,-2.24157,0
0.101111,160.792,13115.3,607.304,0.316576,0
0.102667,160.732,13126.3,607.906,-0.264361,0
0.104222,161.687,13239.4,607.716,-0.3218,0
0.105778,162.039,13260.6,607.454,-0.426812,0
0.107333,162.465,13262.5,606.379,0.920524,0
0.108889,162.348,13286.5,606.526,-0.433649,0
0.110444,162.218,13293.7,605.956,-0.997809,0
0.112,162.036,13286.5,606.115,-1.04679,0
0.113556,161.741,13261.6,606.592,-1.43653,0
0.115111,161.468,13240.9,606.761,-0.590783,0
0.116667,161.36,13237.3,606.707,-1.10529,0
0.118222,161.407,13246.4,606.615,0.0285442,0
0.119778,161.428,13226.7,606.619,0.497995,0
0.121333,161.503,13220.8,606.457,0.862079,0
0.122889,161.594,13214.5,606.356,1.47623,0
0.124444,161.653,13209.3,606.313,1.62801,0
0.126,161.712,13214.7,606.184,1.60124,0
0.127556,161.785,13236.8,605.995,1.38346,0
0.129111,161.776,13281.4,605.905,1.8103,0
0.130667,161.819,13318.5,605.799,2.18803,0
0.132222,161.847,13346,605.752,2.53999,0
0.133778,161.901,13376.9,605.674,2.25601,0
0.135333,161.983,13409.4,605.52,2.11466,0
0.136889,162.155,13460.4,605.161,1.74217,0
0.138444,162.253,13483.3,604.989,1.65186,0
0.14,162.253,13487.1,605.002,1.72678,0
0.141556,162.24,13486.8,605.005,2.09712,0
0.143111,162.246,13492,604.957,2.24886,0
0.144667,162.236,13492.7,604.889,2.63123,0
0.146222,162.237,13497.4,604.777,2.57643,0
0.147778,162.237,13499.4,604.709,2.52901,0
0.149333,162.244,13497.8,604.708,2.43263,0
0.150889,162.262,13495.8,604.715,2.35066,0
0.152444,162.29,13491,604.766,2.22658,0
0.154,162.278,13474.1,604.921,2.12492,0
