x,y,z,T,p,U_0,U_1,U_2
0,0.05,0,288.9,101350,851.84,7.84827e-14,-3.35003e-18
0.00411892,0.0511037,4.33681e-19,288.9,101350,851.84,7.9454e-13,-8.83589e-18
0.00823784,0.0522073,0,288.9,101350,851.84,2.29633e-12,-1.21665e-17
0.0123568,0.053311,-4.33681e-19,288.9,101350,851.84,4.99189e-12,-7.29879e-18
0.0164757,0.0544146,0,288.9,101350,851.84,1.01655e-11,-4.88996e-18
0.0205946,0.0555183,4.06576e-19,288.9,101350,851.84,2.39824e-11,4.79686e-18
0.0247135,0.056622,5.42101e-19,288.9,101350,851.84,7.19832e-11,-1.22238e-19
0.0288324,0.0577256,3.25261e-19,288.9,101350,851.84,2.71254e-10,3.22427e-18
0.0329514,0.0588293,-3.25261e-19,288.9,101350,851.84,1.15385e-09,5.52068e-18
0.0370703,0.0599329,0,288.9,101350,851.84,5.0728e-09,1.48178e-17
0.0411892,0.0610366,6.50521e-19,288.9,101350,851.84,2.13606e-08,-3.71169e-19
0.0453081,0.0621403,-2.1684e-19,288.9,101350,851.84,8.1168e-08,1.63131e-17
0.049427,0.0632439,4.06576e-20,288.9,101350,851.84,3.15206e-07,1.40001e-17
0.0535459,0.0643476,5.96311e-19,288.9,101350,851.84,2.04595e-06,-1.09905e-17
0.0576649,0.0654513,5.42101e-19,288.9,101350,851.84,1.28027e-05,-8.29314e-18
0.0617838,0.0665549,4.33681e-19,288.9,101350,851.84,7.99863e-05,1.56481e-17
0.0659027,0.0676586,-1.30104e-18,288.9,101350,851.84,0.000426041,2.30053e-17
0.0700216,0.0687622,2.1684e-19,288.902,101352,851.838,0.00222777,3.01522e-17
0.0741405,0.0698659,2.1684e-19,288.91,101361,851.828,0.0122104,8.04767e-18
0.0782595,0.0709696,4.33681e-19,288.95,101403,851.781,0.0638893,0
0.0823784,0.0720732,4.33681e-19,289.105,101558,851.599,0.268068,-1.0053e-19
0.0864973,0.0731769,9.48677e-19,289.831,102325,850.716,1.58146,-5.32091e-18
0.0906162,0.0742805,-4.33681e-19,293.835,105635,845.922,6.24216,-3.72158e-17
0.0947351,0.0753842,2.1684e-19,299.27,113342,838.809,21.6242,-3.75141e-19
0.0988541,0.0764879,4.33681e-19,327.566,139438,801.994,53.1883,1.95073e-18
0.102973,0.0775915,1.6263e-19,338.833,168526,782.469,106.602,5.06722e-18
0.107092,0.0786952,-1.6263e-19,364.589,210116,741.875,144.942,3.14706e-18
0.111211,0.0797988,8.55503e-20,379.31,234646,720.183,161.736,6.71557e-17
0.11533,0.0809025,1.0842e-19,379.35,240338,715.98,178.658,1.24993e-17
0.119449,0.0820062,0,381.028,246550,710.136,187.208,1.78506e-17
0.123568,0.0831098,2.1684e-19,382.386,250669,707.988,188.017,9.25331e-18
0.127686,0.0842135,4.33681e-19,382.406,251024,708.426,188.483,0
0.131805,0.0853171,2.1684e-19,382.355,250732,708.726,188.77,0
0.135924,0.0864208,0,382.395,250354,708.771,189.141,0
0.140043,0.0875245,-2.98156e-19,382.265,249752,708.935,189.722,-5.84248e-19
0.144162,0.0886281,-3.79471e-19,382.091,249307,708.997,190.157,1.4439e-17
0.148281,0.0897318,6.36969e-19,381.999,249205,708.897,190.302,-2.51278e-19
0.1524,0.0908355,2.1684e-19,382.061,249422,708.653,190.203,3.32201e-17
0.156519,0.0919391,4.33681e-19,382.209,249773,708.364,189.944,1.11859e-19
0.160638,0.0930428,0,382.389,250070,708.069,189.729,0
0.164757,0.0941464,7.58942e-19,382.49,250262,708,189.663,-3.03403e-18
0.168876,0.0952501,1.0842e-19,382.485,250281,708.056,189.685,-7.41823e-17
0.172995,0.0963538,5.42101e-20,382.459,250288,708.188,189.684,0
0.177114,0.0974574,1.0842e-19,382.429,250286,708.383,189.658,-3.37456e-18
0.181232,0.0985611,8.13152e-19,382.421,250269,708.579,189.646,-5.89514e-18
0.185351,0.0996647,-4.33681e-19,382.446,250255,708.642,189.672,4.49104e-17
0.18947,0.100768,-2.1684e-19,382.508,250265,708.606,189.713,-2.0395e-17
0.193589,0.101872,1.0842e-19,382.584,250292,708.491,189.773,-3.79449e-17
0.197708,0.102976,-2.1684e-19,382.604,250300,708.337,189.843,3.39451e-17
0.201827,0.104079,2.1684e-19,382.578,250278,708.223,189.905,1.49018e-17
0.205946,0.105183,-4.33681e-19,382.525,250239,708.186,189.926,-1.39481e-17
0.210065,0.106287,-8.67362e-19,382.466,250195,708.197,189.915,-3.29176e-17
0.214184,0.10739,-4.33681e-19,382.409,250145,708.243,189.895,-3.05249e-18
0.218303,0.108494,2.1684e-19,382.364,250093,708.31,189.887,-2.45544e-17
0.222422,0.109598,0,382.362,250065,708.354,189.907,-7.52871e-17
0.226541,0.110701,3.25261e-19,382.371,250066,708.354,189.917,8.17653e-18
0.230659,0.111805,-5.42101e-20,382.385,250095,708.334,189.902,6.66162e-18
0.234778,0.112909,4.33681e-19,382.407,250155,708.297,189.871,-1.20392e-17
0.238897,0.114012,0,382.435,250242,708.247,189.831,-8.7479e-17
0.243016,0.115116,2.1684e-19,382.463,250332,708.208,189.795,4.37078e-17
0.247135,0.11622,-2.1684e-19,382.486,250401,708.208,189.767,9.92956e-18
0.251254,0.117323,-4.33681e-19,382.5,250440,708.238,189.751,-1.93575e-17
0.255373,0.118427,-6.50521e-19,382.517,250460,708.267,189.746,2.21951e-20
0.259492,0.119531,-6.50521e-19,382.543,250463,708.284,189.761,-1.08709e-17
0.263611,0.120634,4.33681e-19,382.567,250437,708.304,189.791,1.68087e-17
0.26773,0.121738,0,382.581,250390,708.319,189.832,3.84099e-17
0.271849,0.122842,0,382.586,250330,708.316,189.879,-3.22546e-18
0.275968,0.123945,4.33681e-19,382.586,250274,708.299,189.902,-1.12399e-17
0.280086,0.125049,0,382.576,250237,708.284,189.889,3.36473e-17
0.284205,0.126153,4.33681e-19,382.563,250214,708.274,189.856,-3.20683e-17
0.288324,0.127256,4.87891e-19,382.545,250198,708.277,189.811,1.06666e-17
0.292443,0.12836,4.33681e-19,382.512,250174,708.296,189.776,-3.04079e-17
0.296562,0.129464,-4.33681e-19,382.466,250153,708.323,189.755,-3.8152e-17
0.300681,0.130567,-4.33681e-19,382.438,250162,708.331,189.731,-1.4777e-17
0.3048,0.131671,4.33681e-19,382.434,250171,708.325,189.719,-3.87033e-17
