distance,T,p,U_0,U_1,U_2
0,336.688,3372.93,1.91515,-1.03356,0
0.00153939,335.518,3337.66,6.8106,-0.0440194,0
0.00307879,329.192,3329.55,-6.59475,5.08678,0
0.00461818,327.005,3325.12,-45.1566,5.21852,0
0.00615758,326.334,3315.1,-89.7541,-1.38478,0
0.00769697,324.664,3278.14,-122.447,-4.00213,0
0.00923636,323.075,3265.39,-146.923,-1.43433,0
0.0107758,322.1,3299.16,-163.625,0.302903,0
0.0123152,320.196,3336.08,-175.443,1.94713,0
0.0138545,318.397,3362.96,-180.613,1.51273,0
0.0153939,315.969,3431.14,-184.073,-0.392957,0
0.0169333,314.885,3577.24,-179.814,-0.270751,0
0.0184727,315.072,3727.53,-172.594,-0.279605,0
0.0200121,316.941,4051.24,-155.804,-0.504361,0
0.0215515,319.229,4342.1,-141.241,-0.867215,0
0.0230909,323.728,4882.18,-115.144,-1.48287,0
0.0246303,326.932,5320.4,-92.8464,-2.8689,0
0.0261697,329.261,5754.03,-69.332,-3.73376,0
0.0277091,332.235,6469.31,-36.9459,-2.67292,0
0.0292485,333.949,6994.01,-29.378,-4.70657,0
0.0307879,334.841,7543.2,2.64428,-4.7666,0
0.0323273,334.384,8030.25,29.9205,-4.85008,0
0.0338667,332.896,8758.72,63.8114,-3.49545,0
0.0354061,331.71,9309.92,83.972,-3.79947,0
0.0369455,329.868,9810.74,103.166,-3.52117,0
0.0384848,326.778,10221.5,121.187,-3.3173,0
0.0400242,323.016,10570.5,141.732,-3.59078,0
0.0415636,320.21,10911.3,163.756,-2.97243,0
0.043103,318.015,11337.4,182.126,-2.62736,0
0.0446424,315.682,11703.1,200.068,-2.32523,0
0.0461818,312.579,11917,217.141,-1.9788,0
0.0477212,308.931,12038.9,233.943,-1.78629,0
0.0492606,306.312,12227.9,246.099,-1.29197,0
0.0508,305.295,12370.1,250.963,-1.20978,0
0.0523394,302.916,12563,261.93,-1.07782,0
0.0538788,299.64,12538.3,274.058,-1.00382,0
0.0554182,297.193,12560.9,284.862,-0.727889,0
0.0569576,295.575,12685.6,293.557,-0.570529,0
0.058497,294.657,12701.8,298.218,-0.563008,0
0.0600364,293.021,12707.9,306.482,-0.39628,0
0.0615758,292.231,12806.5,311.896,-0.281941,0
0.0631152,291.785,12851.7,314.596,-0.248315,0
0.0646545,290.749,12913.9,320.169,-0.152922,0
0.0661939,289.773,12988,324.532,-0.197461,0
0.0677333,289.298,13018.5,326.485,-0.252709,0
0.0692727,288.208,12981.8,330.683,-0.241245,0
0.0708121,287.692,12936.1,332.936,-0.181641,0
0.0723515,287.096,12911.4,336.431,-0.118336,0
0.0738909,287.058,12988.8,338.22,-0.0522798,0
0.0754303,287.007,13033.9,339.169,-0.0252562,0
0.0769697,286.625,13068.2,341.868,-0.00646409,0
0.0785091,286.342,13064.3,343.393,0.0251437,0
0.0800485,285.624,13068.9,346.018,0.0322189,0
0.0815879,285.233,13084.9,347.106,0.105667,0
0.0831273,284.972,13122.4,347.307,0.083392,0
0.0846667,284.497,13176.1,348.002,0.0400885,0
0.0862061,284.141,13159.5,348.905,0.01216,0
0.0877455,283.15,13031.5,352.329,-0.0531498,0
0.0892848,282.785,12942.4,354.561,-0.00707556,0
0.0908242,282.627,12873.1,355.683,0.0523431,0
0.0923636,283.218,12970.8,355.716,0.0320574,0
0.093903,283.448,13078.5,354.743,-0.0326238,0
0.0954424,283.724,13189.7,354.198,-0.05421,0
0.0969818,284.458,13246.4,353.841,0.00615374,0
0.0985212,284.942,13243.3,353.505,0.0745286,0
0.100061,284.816,13221.8,353.616,0.119514,0
0.1016,283.845,13124,354.88,0.132701,0
0.103139,283.501,13081.7,355.969,0.118972,0
0.104679,283.208,13049.7,357.299,0.0220546,0
0.106218,283.273,13036,358.819,0.00429232,0
0.107758,283.759,13104.6,358.73,-0.00520906,0
0.109297,284.082,13154.1,358.341,0.00829698,0
0.110836,284.679,13233.9,357.291,0.0321604,0
0.112376,284.713,13290.8,355.857,0.0483091,0
0.113915,284.352,13326.7,356.08,0.0100449,0
0.115455,284.339,13313,356.807,-0.00890433,0
0.116994,284.458,13293.7,357.635,0.0395803,0
0.118533,284.492,13276.6,357.641,0.0674933,0
0.120073,284.513,13270,357.447,0.0950322,0
0.121612,284.687,13277.9,357.063,0.109182,0
0.123152,284.842,13289.1,356.574,0.146039,0
0.124691,285.633,13349.7,355.927,0.0637412,0
0.12623,285.927,13370.8,356.104,0.0357963,0
0.12777,285.926,13374.3,356.418,-0.00877623,0
0.129309,285.995,13374.8,356.709,0.0364342,0
0.130848,286.185,13381.8,356.711,0.0430365,0
0.132388,286.433,13379.7,356.575,0.0624055,0
0.133927,286.7,13389.3,356.118,0.0771824,0
0.135467,286.905,13403.7,355.476,0.124801,0
0.137006,287.152,13417.4,354.802,0.132554,0
0.138545,287.245,13424.4,354.661,0.0626529,0
0.140085,287.231,13421.8,354.767,0.0505778,0
0.141624,287.155,13413.7,355.052,0.0472597,0
0.143164,286.99,13402.1,355.442,0.015686,0
0.144703,286.948,13392.2,355.834,0.0126366,0
0.146242,286.987,13387.7,356.049,0.0245304,0
0.147782,287.106,13383.4,356.008,0.0384883,0
0.149321,287.325,13383.9,355.83,0.0477309,0
0.150861,287.411,13386.2,355.484,0.0779052,0
0.1524,287.425,13393.3,354.802,0.126178,0
