distance,T,p,U_0,U_1,U_2
0.00155556,238.289,13339.8,394.679,0.332179,0
0.00311111,167.646,5103.18,549.055,-176.507,0
0.00466667,146.064,4171.42,592.283,-203.05,0
0.00622222,138.58,4161.14,609.22,-208.06,0
0.00777778,130.11,4068.32,626.367,-205.596,0
0.00933333,123.551,4040.26,639.233,-201.447,0
0.0108889,118.057,3982.95,648.671,-200.496,0
0.0124444,112.833,3836.96,656.575,-201.277,0
0.014,110.483,3817.49,658.707,-201.797,0
0.0155556,109.733,3809.55,659.299,-201.597,0
0.0171111,108.384,3782.04,660.545,-201.654,0
0.0186667,106.546,3695.09,662.323,-202.912,0
0.0202222,105.8,3655.29,662.825,-204.031,0
0.0217778,104.186,3547.01,663.758,-208.101,0
0.0233333,104.629,3528.25,661.299,-212.315,0
0.0248889,107.639,3707.05,658.74,-205.27,0
0.0264444,105.376,3643.14,663.355,-203.523,0
0.028,105.128,3625.69,662.687,-204.685,0
0.0295556,104.995,3609.33,662.627,-205.154,0
0.0311111,103.412,3508.35,663.1,-209.606,0
0.0326667,101.852,3282.09,663.488,-219.826,0
0.0342222,103.965,3379.13,660.595,-218.245,0
0.0357778,104.988,3488.26,659.857,-214.387,0
0.0373333,105.76,3586.63,660.212,-209.269,0
0.0388889,103.875,3517.8,663.392,-210.263,0
0.0404444,103.323,3427.33,663.203,-213.37,0
0.042,103.809,3392.02,661.951,-215.002,0
0.0435556,105.275,3481.79,660.443,-212.898,0
0.0451111,105.5,3575.69,660.934,-209.026,0
0.0466667,104.936,3514.51,661.108,-211.337,0
0.0482222,104.158,3498.18,662.298,-210.372,0
0.0497778,104.577,3542.99,661.451,-209.749,0
0.0513333,105.149,3579.79,661.275,-208.105,0
0.0528889,104.852,3550.74,661.542,-208.804,0
0.0544444,104.597,3516.96,661.249,-210.38,0
0.056,103.909,3440.69,661.144,-213.897,0
0.0575556,103.985,3397.84,660.65,-215.762,0
0.0591111,104.259,3419,660.451,-214.858,0
0.0606667,103.823,3450.24,661.692,-212.835,0
0.0622222,113.142,4193.59,653.335,-190.964,0
0.0637778,145.1,7467.54,618.692,-120.051,0
0.0653333,165.67,13829.8,589.643,-21.8988,0
0.0668889,165.133,13488.7,591.017,4.73728,0
0.0684444,165.691,13490,590.117,7.71589,0
0.07,165.674,13597.3,589.593,6.14706,0
0.0715556,164.588,13464.6,591.324,7.35842,0
0.0731111,164.789,13503.8,591.004,7.10718,0
0.0746667,166.114,13843.9,588.309,3.3726,0
0.0762222,166.439,13878.4,588.2,3.46173,0
0.0777778,165.919,13746.9,589.268,5.46569,0
0.0793333,166.245,13764,588.346,6.18588,0
0.0808889,166.219,13754.2,588.426,6.50092,0
0.0824444,166.063,13771.7,589.128,6.3562,0
0.084,166.092,13782.9,589.238,5.91737,0
0.0855556,166.275,13765.7,588.703,5.54977,0
0.0871111,165.948,13741.8,590.217,5.28998,0
0.0886667,165.865,13713.7,590.692,5.22539,0
0.0902222,165.797,13689.8,591.128,5.14824,0
0.0917778,165.67,13655,591.783,5.13248,0
0.0933333,165.604,13632.3,592.045,5.18607,0
0.0948889,165.492,13594.3,592.429,4.87898,0
0.0964444,165.363,13571.2,592.725,4.61614,0
0.098,165.336,13551.1,592.874,4.20809,0
0.0995556,165.079,13498.3,593.486,3.55666,0
0.101111,165.361,13481.8,592.658,3.42758,0
0.102667,164.977,13479.6,593.858,3.32066,0
0.104222,165.025,13496.3,593.857,3.49783,0
0.105778,165.042,13511.8,593.812,3.6946,0
0.107333,165.446,13533.4,592.666,3.86212,0
0.108889,165.068,13527.4,593.724,3.79124,0
0.110444,165.013,13520.4,593.763,3.47233,0
0.112,164.985,13509.5,593.782,3.16169,0
0.113556,164.855,13490.8,593.917,2.76794,0
0.115111,164.851,13478.7,593.88,2.43812,0
0.116667,164.811,13468.4,593.844,2.16899,0
0.118222,164.811,13458.1,593.605,1.80817,0
0.119778,164.819,13456.8,593.424,1.68419,0
0.121333,164.821,13456.5,593.234,1.52884,0
0.122889,164.827,13456.2,593.026,1.47835,0
0.124444,164.841,13456.4,592.79,1.41603,0
0.126,164.837,13456.7,592.566,1.47178,0
0.127556,164.867,13460.9,592.271,1.50172,0
0.129111,164.893,13471,591.737,1.78362,0
0.130667,164.902,13475.4,591.523,1.97299,0
0.132222,164.912,13478.7,591.346,2.15225,0
0.133778,164.921,13479.1,591.216,2.33465,0
0.135333,164.924,13478.7,591.153,2.51847,0
0.136889,164.93,13477.4,591.129,2.70484,0
0.138444,164.899,13474.1,591.181,2.88629,0
0.14,164.891,13471.2,591.248,3.08671,0
0.141556,164.867,13466.2,591.38,3.27627,0
0.143111,164.849,13461.4,591.544,3.48147,0
0.144667,164.822,13452.9,591.762,3.7019,0
0.146222,164.821,13449.9,591.986,3.90871,0
0.147778,164.799,13438.3,592.284,4.11673,0
0.149333,164.797,13433.7,592.578,4.26238,0
0.150889,164.764,13417.7,592.969,4.44802,0
0.152444,164.74,13405.3,593.369,4.50854,0
0.154,164.698,13385.5,593.827,4.67597,0
