distance,T,p,U_0,U_1,U_2
0,301.875,2209.36,6.0678,-2.46898,0
0.00153939,302.333,2198.51,14.23,1.017,0
0.00307879,309.572,2159.82,-14.5197,4.77171,0
0.00461818,303.263,2030.31,-111.648,4.42809,0
0.00615758,294.558,1860,-192.229,0.897285,0
0.00769697,290.514,1839.78,-222.15,0.77272,0
0.00923636,289.62,1929.84,-232.095,1.27966,0
0.0107758,290.315,2079.74,-234.393,1.80679,0
0.0123152,291.665,2279.2,-231.142,2.56114,0
0.0138545,293.266,2453.48,-224.998,1.84999,0
0.0153939,296.9,2797.8,-209.058,0.518853,0
0.0169333,302.225,3272.51,-182.23,-1.55847,0
0.0184727,306.546,3678.47,-157.635,-2.89266,0
0.0200121,313.174,4444.18,-111.858,-5.5304,0
0.0215515,317.009,5056.43,-76.3316,-7.01361,0
0.0230909,320.655,6103.11,-19.2433,-8.23701,0
0.0246303,321.635,6860.13,15.5081,-6.19814,0
0.0261697,320.939,7627.01,50.2066,-6.10269,0
0.0277091,317.864,8780.78,105.168,-5.30244,0
0.0292485,314.928,9467.43,139.917,-4.57375,0
0.0307879,311.257,10002.4,171.217,-4.01745,0
0.0323273,306.642,10383.5,197.116,-3.2087,0
0.0338667,300.324,10993.8,222.447,-2.22029,0
0.0354061,297.184,11421.8,236.272,-1.74412,0
0.0369455,294.287,11807,251.09,-1.55305,0
0.0384848,291.039,11984.5,268.913,-1.45238,0
0.0400242,288.844,12124.1,283.847,-1.32154,0
0.0415636,287.774,12247,294.381,-0.962542,0
0.043103,287.182,12327.7,301.421,-0.51082,0
0.0446424,287.097,12442.6,304.487,-0.34564,0
0.0461818,287.052,12588.1,305.41,-0.202203,0
0.0477212,287.536,12833,304.028,-0.0588298,0
0.0492606,288.027,13070.9,302.685,-0.0458477,0
0.0508,288.022,13149.2,302.809,-0.0494477,0
0.0523394,287.936,13262.5,303.409,-0.0712026,0
0.0538788,287.62,13317.4,305.101,-0.0870115,0
0.0554182,287.407,13336.2,306.955,-0.0596906,0
0.0569576,287.781,13421.9,306.387,0.00293835,0
0.058497,288.089,13494.7,305.519,0.000397393,0
0.0600364,288.339,13606.4,304.413,-0.0275032,0
0.0615758,288.169,13654.4,304.606,-0.0446611,0
0.0631152,288.036,13671.8,304.832,-0.0678688,0
0.0646545,287.863,13716.3,305.277,-0.0944236,0
0.0661939,287.936,13776.7,305.493,-0.0614621,0
0.0677333,288.021,13807.6,305.556,-0.0427078,0
0.0692727,288.133,13841.8,306.051,-0.0450177,0
0.0708121,288.12,13846.2,306.448,-0.0367365,0
0.0723515,287.925,13818.2,307.829,-0.0562522,0
0.0738909,287.124,13684.9,311.045,-0.0854792,0
0.0754303,287.086,13631,312.43,-0.0637003,0
0.0769697,287.439,13612.5,312.53,0.0312458,0
0.0785091,287.791,13636.3,311.793,0.0544958,0
0.0800485,288.45,13690.1,310.47,0.0313676,0
0.0815879,288.573,13678.1,310.678,0.00987503,0
0.0831273,288.357,13612.7,311.884,-0.052188,0
0.0846667,288.229,13462.3,314.25,0.00304256,0
0.0862061,288.613,13466.8,313.792,0.0488143,0
0.0877455,290.082,13587.6,309.69,0.18373,0
0.0892848,291.042,13691.6,306.667,0.218612,0
0.0908242,291.682,13739.9,305.287,0.17534,0
0.0923636,292.443,13695.4,304.842,0.0896512,0
0.093903,292.736,13654.1,304.832,0.0956803,0
0.0954424,293.068,13615.2,304.698,0.0999755,0
0.0969818,293.93,13563.2,303.823,0.11688,0
0.0985212,294.451,13550.5,303.109,0.12325,0
0.100061,294.986,13541.1,302.324,0.126416,0
0.1016,295.916,13512.2,300.931,0.130787,0
0.103139,296.29,13490.9,300.392,0.128436,0
0.104679,296.624,13468.8,299.873,0.129689,0
0.106218,296.934,13451,299.271,0.129349,0
0.107758,297.484,13440.4,297.532,0.145716,0
0.109297,297.691,13442.3,296.585,0.15183,0
0.110836,297.82,13443.4,295.727,0.12415,0
0.112376,297.814,13439.9,295.125,0.143044,0
0.113915,297.596,13427.1,294.466,0.0773761,0
0.115455,297.393,13426.6,294.283,0.0540509,0
0.116994,297.055,13425.5,294.213,0.0436773,0
0.118533,296.675,13431.8,294.079,0.0389925,0
0.120073,296.174,13439.3,294.066,0.0398725,0
0.121612,295.539,13444,294.169,0.0384786,0
0.123152,294.802,13448.5,294.393,0.0367638,0
0.124691,293.165,13458,295.268,0.0280057,0
0.12623,292.39,13464.7,295.903,0.0224436,0
0.12777,291.689,13472.5,296.654,0.0158355,0
0.129309,291.072,13480.3,297.502,0.0103839,0
0.130848,290.541,13487.2,298.447,0.00401581,0
0.132388,290.092,13490.3,299.484,0.00165554,0
0.133927,289.771,13491.2,300.521,-0.0102409,0
0.135467,289.51,13487.9,301.623,-0.0130979,0
0.137006,289.442,13482.7,302.672,-0.00896437,0
0.138545,289.476,13475.3,303.608,-0.0174868,0
0.140085,289.609,13469,304.359,-0.0473246,0
0.141624,289.811,13460.5,305.035,0.0243316,0
0.143164,290,13453.9,305.092,0.0528557,0
0.144703,290.163,13444.9,304.989,0.0703652,0
0.146242,290.343,13441.2,304.548,0.113686,0
0.147782,290.621,13434,304.08,0.107708,0
0.149321,290.93,13416.9,303.925,0.0871641,0
0.150861,291.263,13394.6,303.652,0.0924041,0
0.1524,291.717,13382.4,303.128,0.0948539,0
