x,y,z,T,p,U_0,U_1,U_2
0,0.05,0,288.9,101350,851.84,7.04754e-14,-3.44725e-18
0.00411892,0.0511037,4.33681e-19,288.9,101350,851.84,7.21116e-13,-9.34221e-18
0.00823784,0.0522073,0,288.9,101350,851.84,1.96439e-12,-1.35385e-17
0.0123568,0.053311,-4.33681e-19,288.9,101350,851.84,4.31858e-12,-7.97604e-18
0.0164757,0.0544146,0,288.9,101350,851.84,9.22881e-12,-4.4422e-18
0.0205946,0.0555183,4.06576e-19,288.9,101350,851.84,2.24289e-11,5.37555e-18
0.0247135,0.056622,5.42101e-19,288.9,101350,851.84,6.83036e-11,1.21385e-19
0.0288324,0.0577256,3.25261e-19,288.9,101350,851.84,2.6714e-10,3.13782e-18
0.0329514,0.0588293,-3.25261e-19,288.9,101350,851.84,1.11632e-09,5.41797e-18
0.0370703,0.0599329,0,288.9,101350,851.84,5.14379e-09,1.4796e-17
0.0411892,0.0610366,6.50521e-19,288.9,101350,851.84,2.12498e-08,-3.77732e-19
0.0453081,0.0621403,-2.1684e-19,288.9,101350,851.84,8.47781e-08,1.62979e-17
0.049427,0.0632439,4.06576e-20,288.9,101350,851.84,3.24908e-07,1.39876e-17
0.0535459,0.0643476,5.96311e-19,288.9,101350,851.84,2.14503e-06,-1.09922e-17
0.0576649,0.0654513,5.42101e-19,288.9,101350,851.84,1.33881e-05,-8.29047e-18
0.0617838,0.0665549,4.33681e-19,288.9,101350,851.84,8.25773e-05,1.56477e-17
0.0659027,0.0676586,-1.30104e-18,288.9,101350,851.84,0.000442991,2.30007e-17
0.0700216,0.0687622,2.1684e-19,288.902,101352,851.838,0.00231774,3.01451e-17
0.0741405,0.0698659,2.1684e-19,288.91,101362,851.827,0.0129206,8.04631e-18
0.0782595,0.0709696,4.33681e-19,288.952,101406,851.778,0.0687352,0
0.0823784,0.0720732,4.33681e-19,289.133,101576,851.567,0.284628,-1.00358e-19
0.0864973,0.0731769,9.48677e-19,289.82,102341,850.735,1.6664,-5.3097e-18
0.0906162,0.0742805,-4.33681e-19,294.118,105823,845.584,6.52092,-3.73219e-17
0.0947351,0.0753842,2.1684e-19,299.712,113604,838.406,21.9788,-3.9439e-19
0.0988541,0.0764879,4.33681e-19,325.891,139469,804.005,54.2047,1.94607e-18
0.102973,0.0775915,1.6263e-19,343.619,171259,777.822,100.575,5.07355e-18
0.107092,0.0786952,-1.6263e-19,359.548,205669,746.787,153.199,3.16304e-18
