x,y,z,T,p,U_0,U_1,U_2
0,0.05,0,288.9,101350,851.84,3.29638e-13,-3.38825e-18
0.00411892,0.0511037,4.33681e-19,288.9,101350,851.84,8.95133e-13,-7.91727e-18
0.00823784,0.0522073,0,288.9,101350,851.84,2.38e-12,-9.94999e-18
0.0123568,0.053311,-4.33681e-19,288.9,101350,851.84,5.11887e-12,-6.61392e-18
0.0164757,0.0544146,0,288.9,101350,851.84,1.05259e-11,-5.82254e-18
0.0205946,0.0555183,4.06576e-19,288.9,101350,851.84,2.40001e-11,4.40483e-18
0.0247135,0.056622,5.42101e-19,288.9,101350,851.84,7.15996e-11,3.35285e-19
0.0288324,0.0577256,3.25261e-19,288.9,101350,851.84,2.55717e-10,3.20721e-18
0.0329514,0.0588293,-3.25261e-19,288.9,101350,851.84,1.10102e-09,5.42315e-18
0.0370703,0.0599329,0,288.9,101350,851.84,4.69844e-09,1.48296e-17
0.0411892,0.0610366,6.50521e-19,288.9,101350,851.84,2.02894e-08,-3.57581e-19
0.0453081,0.0621403,-2.1684e-19,288.9,101350,851.84,7.69704e-08,1.63041e-17
0.049427,0.0632439,4.06576e-20,288.9,101350,851.84,3.26905e-07,1.39907e-17
0.0535459,0.0643476,5.96311e-19,288.9,101350,851.84,2.03565e-06,-1.09846e-17
0.0576649,0.0654513,5.42101e-19,288.9,101350,851.84,1.3288e-05,-8.2855e-18
0.0617838,0.0665549,4.33681e-19,288.9,101350,851.84,8.09618e-05,1.56586e-17
0.0659027,0.0676586,-1.30104e-18,288.9,101350,851.84,0.000436643,2.30062e-17
0.0700216,0.0687622,2.1684e-19,288.902,101352,851.838,0.00236239,3.01661e-17
0.0741405,0.0698659,2.1684e-19,288.91,101361,851.828,0.0125065,8.05548e-18
0.0782595,0.0709696,4.33681e-19,288.951,101405,851.78,0.0662065,0
0.0823784,0.0720732,4.33681e-19,289.142,101590,851.553,0.322507,-1.01326e-19
0.0864973,0.0731769,9.48677e-19,290.045,102411,850.498,1.53091,-5.36859e-18
0.0906162,0.0742805,-4.33681e-19,292.526,105322,847.37,6.86856,-3.69375e-17
0.0947351,0.0753842,2.1684e-19,305.141,116137,831.991,21.3959,-4.06014e-19
0.0988541,0.0764879,4.33681e-19,316.229,134463,816.421,58.9483,1.94681e-18
0.102973,0.0775915,1.6263e-19,349.442,176165,767.976,98.6294,5.05024e-18
0.107092,0.0786952,-1.6263e-19,364.543,208748,742.775,143.177,3.13206e-18
0.111211,0.0797988,8.55503e-20,369.934,225756,728.404,177.004,5.99672e-17
0.11533,0.0809025,1.0842e-19,378.328,241383,715.768,182.457,1.24449e-17
0.119449,0.0820062,0,381.576,246389,710.102,188.286,1.72038e-17
0.123568,0.0831098,2.1684e-19,382.18,247800,708.388,191.164,8.35627e-18
0.127686,0.0842135,4.33681e-19,382.825,249496,707.413,190.893,0
0.131805,0.0853171,2.1684e-19,382.544,250048,707.968,190.239,0
0.135924,0.0864208,0,382.078,249877,708.686,190.01,0
0.140043,0.0875245,-2.98156e-19,381.96,249794,708.978,189.947,-1.26387e-18
0.144162,0.0886281,-3.79471e-19,382.179,249863,708.894,189.932,1.22951e-17
0.148281,0.0897318,6.36969e-19,382.519,249977,708.596,189.975,-6.53326e-19
0.1524,0.0908355,2.1684e-19,382.711,250065,708.23,189.888,3.69158e-17
0.156519,0.0919391,4.33681e-19,382.701,250079,708.066,189.728,2.71224e-19
0.160638,0.0930428,0,382.514,249973,708.173,189.624,0
0.164757,0.0941464,7.58942e-19,382.227,249791,708.415,189.536,-3.53925e-18
0.168876,0.0952501,1.0842e-19,382.085,249723,708.601,189.6,-8.65351e-17
0.172995,0.0963538,5.42101e-20,382.115,249771,708.595,189.655,0
0.177114,0.0974574,1.0842e-19,382.238,249918,708.473,189.689,-3.48542e-18
0.181232,0.0985611,8.13152e-19,382.386,250119,708.283,189.708,-6.06798e-18
0.185351,0.0996647,-4.33681e-19,382.466,250292,708.137,189.666,4.70504e-17
0.18947,0.100768,-2.1684e-19,382.468,250373,708.097,189.702,-2.01451e-17
0.193589,0.101872,1.0842e-19,382.447,250358,708.129,189.748,-3.69675e-17
0.197708,0.102976,-2.1684e-19,382.405,250278,708.226,189.814,3.11625e-17
0.201827,0.104079,2.1684e-19,382.369,250173,708.369,189.886,1.31927e-17
0.205946,0.105183,-4.33681e-19,382.36,250107,708.493,189.955,-1.53176e-17
0.210065,0.106287,-8.67362e-19,382.384,250112,708.536,190.005,-3.58025e-17
0.214184,0.10739,-4.33681e-19,382.441,250174,708.513,190.021,-3.32002e-18
0.218303,0.108494,2.1684e-19,382.512,250255,708.463,190.016,-2.31593e-17
0.222422,0.109598,0,382.589,250331,708.398,189.995,-7.11681e-17
0.226541,0.110701,3.25261e-19,382.664,250375,708.316,189.981,9.63747e-18
0.230659,0.111805,-5.42101e-20,382.689,250365,708.243,189.942,7.85189e-18
0.234778,0.112909,4.33681e-19,382.681,250334,708.215,189.883,-1.29799e-17
0.238897,0.114012,0,382.654,250293,708.2,189.808,-9.07004e-17
0.243016,0.115116,2.1684e-19,382.603,250254,708.207,189.738,4.17636e-17
0.247135,0.11622,-2.1684e-19,382.575,250268,708.175,189.661,1.05236e-17
0.251254,0.117323,-4.33681e-19,382.534,250286,708.158,189.566,-1.83934e-17
0.255373,0.118427,-6.50521e-19,382.532,250333,708.106,189.504,-1.75047e-18
0.259492,0.119531,-6.50521e-19,382.507,250357,708.096,189.472,-1.05921e-17
0.263611,0.120634,4.33681e-19,382.475,250353,708.112,189.467,1.92001e-17
0.26773,0.121738,0,382.441,250326,708.151,189.485,3.56247e-17
0.271849,0.122842,0,382.402,250257,708.222,189.545,-4.06148e-18
0.275968,0.123945,4.33681e-19,382.346,250151,708.326,189.634,-1.11412e-17
0.280086,0.125049,0,382.306,250055,708.436,189.718,3.75046e-17
0.284205,0.126153,4.33681e-19,382.311,250022,708.481,189.784,-3.23476e-17
0.288324,0.127256,4.87891e-19,382.335,250041,708.468,189.807,1.05322e-17
0.292443,0.12836,4.33681e-19,382.376,250084,708.44,189.808,-3.18985e-17
0.296562,0.129464,-4.33681e-19,382.429,250139,708.4,189.795,-3.67784e-17
0.300681,0.130567,-4.33681e-19,382.493,250178,708.356,189.8,-1.47688e-17
0.3048,0.131671,4.33681e-19,382.524,250186,708.341,189.816,-3.87212e-17
