x,y,z,T,p,U_0,U_1,U_2
-0.15242,0.05,0,288.9,101350,851.84,0,0
-0.146069,0.05,2.1684e-19,288.9,101350,851.84,1.01211e-13,0
-0.139718,0.05,1.0842e-19,288.9,101350,851.84,2.79158e-14,0
-0.133368,0.05,2.1684e-19,288.9,101350,851.84,4.22242e-15,0
-0.127017,0.05,4.33681e-19,288.9,101350,851.84,-2.43639e-14,0
-0.120666,0.05,8.67362e-19,288.9,101350,851.84,2.0839e-14,0
-0.114315,0.05,8.67362e-19,288.9,101350,851.84,-1.22349e-14,0
-0.107964,0.05,1.0842e-18,288.9,101350,851.84,6.68223e-14,0
-0.101613,0.05,6.50521e-19,288.9,101350,851.84,2.2058e-13,0
-0.0952625,0.05,4.33681e-19,288.9,101350,851.84,1.33391e-13,0
-0.0889117,0.05,6.50521e-19,288.9,101350,851.84,-5.4383e-14,0
-0.0825608,0.05,4.33681e-19,288.9,101350,851.84,-3.48109e-13,0
-0.07621,0.05,2.1684e-19,288.9,101350,851.84,-1.92411e-14,0
-0.0698592,0.05,2.1684e-19,288.9,101350,851.84,5.02629e-14,0
-0.0635083,0.05,-3.25261e-19,288.9,101350,851.84,8.51065e-14,0
-0.0571575,0.05,-2.1684e-19,288.9,101350,851.84,-1.07226e-14,0
-0.0508067,0.05,3.25261e-19,288.9,101350,851.84,-5.10217e-13,0
-0.0444558,0.05,0,288.9,101350,851.84,-6.94004e-13,0
-0.038105,0.05,3.38271e-19,288.9,101350,851.84,-8.04047e-13,0
-0.0317542,0.05,-2.1684e-19,288.9,101350,851.84,-6.02879e-13,0
-0.0254033,0.05,-2.1684e-19,288.9,101350,851.84,-4.15661e-13,0
-0.0190525,0.05,2.71051e-19,288.9,101350,851.84,-4.85795e-13,0
-0.0127017,0.05,-2.1684e-19,288.9,101350,851.84,-4.06099e-13,0
-0.00635083,0.05,2.71051e-19,288.9,101350,851.84,-2.73479e-13,0
-4.45316e-19,0.05,2.1684e-19,288.9,101350,851.84,3.29638e-13,-3.38825e-18
