# Residuals     
# Time          	p               	Ux              	Uz              	e               	k               	omega           
0.00092         	7.66658005e-03	4.17044148e-03	1.58147905e-02	1.00918087e-02	2.51131796e-03	2.29863287e-04
0.00094         	7.79915950e-03	4.21852621e-03	1.55993363e-02	1.02473309e-02	2.47775519e-03	2.27358781e-04
0.00096         	7.91452422e-03	4.26325537e-03	1.53855389e-02	1.04111669e-02	2.44074247e-03	2.24933779e-04
0.00098         	8.04169238e-03	4.30941838e-03	1.52035560e-02	1.05642260e-02	2.40624976e-03	2.22597043e-04
0.001           	8.17252381e-03	4.35619911e-03	1.49928746e-02	1.07350145e-02	2.37495244e-03	2.20388619e-04
0.00102         	8.28549353e-03	4.39958584e-03	1.48266672e-02	1.08886270e-02	2.34053455e-03	2.18222317e-04
0.00104         	8.42104825e-03	4.44475667e-03	1.46550403e-02	1.10457676e-02	2.30931683e-03	2.15990235e-04
0.00106         	8.54756566e-03	4.49103887e-03	1.44769694e-02	1.12141218e-02	2.27973573e-03	2.13917726e-04
0.00108         	8.66491387e-03	4.53387923e-03	1.43327856e-02	1.13652253e-02	2.24903753e-03	2.11905840e-04
0.0011          	8.80374607e-03	4.57752750e-03	1.41683934e-02	1.15214379e-02	2.22049453e-03	2.09949600e-04
0.00112         	8.92682693e-03	4.62315354e-03	1.40198424e-02	1.16878917e-02	2.19226807e-03	2.07960236e-04
0.00114         	9.05173368e-03	4.66640774e-03	1.38894718e-02	1.18384588e-02	2.16330419e-03	2.06020486e-04
0.00116         	9.18564534e-03	4.70897159e-03	1.37420296e-02	1.19941062e-02	2.13592974e-03	2.04172410e-04
0.00118         	9.31082448e-03	4.75416048e-03	1.36107946e-02	1.21589343e-02	2.10996866e-03	2.02436756e-04
0.0012          	9.44054258e-03	4.80024918e-03	1.34928577e-02	1.23107374e-02	2.08431214e-03	2.00791331e-04
0.00122         	9.56947251e-03	4.84283864e-03	1.33639913e-02	1.24669310e-02	2.05934475e-03	1.99050173e-04
0.00124         	9.69962649e-03	4.88973845e-03	1.32455861e-02	1.26235791e-02	2.03391279e-03	1.97340634e-04
0.00126         	9.82560203e-03	4.93909905e-03	1.31308264e-02	1.27794588e-02	2.00894491e-03	1.95807818e-04
0.00128         	9.95764035e-03	4.98955784e-03	1.30240214e-02	1.29361394e-02	1.98637133e-03	1.94350092e-04
0.0013          	1.00891185e-02	5.04258281e-03	1.29094871e-02	1.30853751e-02	1.96448058e-03	1.92929268e-04
