 Part 2.

  A specification of experimentally based turbulent viscosities and
turbulent length scales in the bulk of the flow. The values beyond
3.0 diameters were obtained from a k-e solution in that region.

  To obtain a value at any arbitary point use bilinear interpolation
between the four surrounding points. The (FORTRAN) format used to read
these numbers should be: 4E13.3

    Axial        Radial       Turbulent    Length
    position     position     viscosity    scale
    4.500E-01    0.000E+00    3.613E-04    9.074E-03
    4.500E-01    2.000E-02    3.644E-04    8.977E-03
    4.500E-01    4.000E-02    3.565E-04    8.652E-03
    4.500E-01    6.000E-02    3.476E-04    8.221E-03
    4.500E-01    8.000E-02    3.592E-04    7.814E-03
    4.500E-01    1.000E-01    3.812E-04    7.355E-03
    4.500E-01    1.200E-01    3.815E-04    7.359E-03
    4.500E-01    1.400E-01    3.876E-04    7.280E-03
    4.500E-01    1.600E-01    4.602E-04    7.505E-03
    4.500E-01    1.800E-01    5.673E-04    7.717E-03
    4.500E-01    2.000E-01    6.262E-04    7.426E-03
    4.500E-01    2.200E-01    7.077E-04    6.437E-03
    4.500E-01    2.400E-01    7.758E-04    5.412E-03
    4.500E-01    2.600E-01    8.920E-04    5.336E-03
    4.500E-01    2.800E-01    1.067E-03    6.440E-03
    4.500E-01    3.000E-01    1.139E-03    7.815E-03
    4.500E-01    3.200E-01    1.140E-03    9.162E-03
    4.500E-01    3.400E-01    1.123E-03    1.063E-02
    4.500E-01    3.600E-01    1.146E-03    1.221E-02
    4.500E-01    3.800E-01    1.161E-03    1.354E-02
    4.500E-01    4.000E-01    1.114E-03    1.449E-02
    4.500E-01    4.200E-01    1.185E-03    1.487E-02
    4.500E-01    4.400E-01    1.026E-03    1.325E-02
    4.500E-01    4.600E-01    6.543E-04    9.466E-03
    4.500E-01    4.800E-01    2.552E-04    4.860E-03
    4.500E-01    5.000E-01    0.000E+00    0.000E+00
    5.500E-01    0.000E+00    3.626E-04    9.076E-03
    5.500E-01    2.000E-02    3.687E-04    8.975E-03
    5.500E-01    4.000E-02    3.609E-04    8.643E-03
    5.500E-01    6.000E-02    3.502E-04    8.223E-03
    5.500E-01    8.000E-02    3.610E-04    7.830E-03
    5.500E-01    1.000E-01    3.828E-04    7.361E-03
    5.500E-01    1.200E-01    3.850E-04    7.328E-03
    5.500E-01    1.400E-01    4.130E-04    7.344E-03
    5.500E-01    1.600E-01    5.085E-04    7.631E-03
    5.500E-01    1.800E-01    6.369E-04    7.860E-03
    5.500E-01    2.000E-01    7.309E-04    7.705E-03
    5.500E-01    2.200E-01    9.169E-04    7.101E-03
    5.500E-01    2.400E-01    1.016E-03    6.421E-03
    5.500E-01    2.600E-01    1.155E-03    6.571E-03
    5.500E-01    2.800E-01    1.356E-03    7.717E-03
    5.500E-01    3.000E-01    1.476E-03    9.012E-03
    5.500E-01    3.200E-01    1.489E-03    1.024E-02
    5.500E-01    3.400E-01    1.455E-03    1.147E-02
    5.500E-01    3.600E-01    1.419E-03    1.272E-02
    5.500E-01    3.800E-01    1.385E-03    1.382E-02
    5.500E-01    4.000E-01    1.319E-03    1.470E-02
    5.500E-01    4.200E-01    1.304E-03    1.514E-02
    5.500E-01    4.400E-01    1.083E-03    1.345E-02
    5.500E-01    4.600E-01    6.756E-04    9.563E-03
    5.500E-01    4.800E-01    2.576E-04    4.902E-03
    5.500E-01    5.000E-01    0.000E+00    0.000E+00
    6.500E-01    0.000E+00    3.593E-04    9.077E-03
    6.500E-01    2.000E-02    3.704E-04    8.975E-03
    6.500E-01    4.000E-02    3.655E-04    8.640E-03
    6.500E-01    6.000E-02    3.537E-04    8.224E-03
    6.500E-01    8.000E-02    3.619E-04    7.834E-03
    6.500E-01    1.000E-01    3.822E-04    7.350E-03
    6.500E-01    1.200E-01    3.917E-04    7.285E-03
    6.500E-01    1.400E-01    4.457E-04    7.395E-03
    6.500E-01    1.600E-01    5.662E-04    7.761E-03
    6.500E-01    1.800E-01    7.188E-04    8.052E-03
    6.500E-01    2.000E-01    8.541E-04    8.076E-03
    6.500E-01    2.200E-01    1.129E-03    7.829E-03
    6.500E-01    2.400E-01    1.263E-03    7.476E-03
    6.500E-01    2.600E-01    1.420E-03    7.846E-03
    6.500E-01    2.800E-01    1.639E-03    9.037E-03
    6.500E-01    3.000E-01    1.792E-03    1.026E-02
    6.500E-01    3.200E-01    1.820E-03    1.134E-02
    6.500E-01    3.400E-01    1.774E-03    1.233E-02
    6.500E-01    3.600E-01    1.697E-03    1.322E-02
    6.500E-01    3.800E-01    1.645E-03    1.404E-02
    6.500E-01    4.000E-01    1.600E-03    1.478E-02
    6.500E-01    4.200E-01    1.503E-03    1.522E-02
    6.500E-01    4.400E-01    1.202E-03    1.352E-02
    6.500E-01    4.600E-01    7.335E-04    9.611E-03
    6.500E-01    4.800E-01    2.745E-04    4.914E-03
    6.500E-01    5.000E-01    0.000E+00    0.000E+00
    7.500E-01    0.000E+00    3.708E-04    9.064E-03
    7.500E-01    2.000E-02    3.790E-04    8.985E-03
    7.500E-01    4.000E-02    3.772E-04    8.675E-03
    7.500E-01    6.000E-02    3.682E-04    8.222E-03
    7.500E-01    8.000E-02    3.752E-04    7.758E-03
    7.500E-01    1.000E-01    3.942E-04    7.238E-03
    7.500E-01    1.200E-01    4.100E-04    7.283E-03
    7.500E-01    1.400E-01    4.905E-04    7.556E-03
    7.500E-01    1.600E-01    6.442E-04    8.049E-03
    7.500E-01    1.800E-01    8.414E-04    8.466E-03
    7.500E-01    2.000E-01    1.045E-03    8.715E-03
    7.500E-01    2.200E-01    1.316E-03    8.679E-03
    7.500E-01    2.400E-01    1.482E-03    8.569E-03
    7.500E-01    2.600E-01    1.682E-03    9.138E-03
    7.500E-01    2.800E-01    1.919E-03    1.038E-02
    7.500E-01    3.000E-01    2.062E-03    1.154E-02
    7.500E-01    3.200E-01    2.118E-03    1.249E-02
    7.500E-01    3.400E-01    2.080E-03    1.324E-02
    7.500E-01    3.600E-01    1.976E-03    1.382E-02
    7.500E-01    3.800E-01    1.865E-03    1.426E-02
    7.500E-01    4.000E-01    1.732E-03    1.449E-02
    7.500E-01    4.200E-01    1.546E-03    1.443E-02
    7.500E-01    4.400E-01    1.227E-03    1.306E-02
    7.500E-01    4.600E-01    7.499E-04    9.575E-03
    7.500E-01    4.800E-01    2.720E-04    4.841E-03
    7.500E-01    5.000E-01    0.000E+00    0.000E+00
    8.500E-01    0.000E+00    3.857E-04    9.062E-03
    8.500E-01    2.000E-02    3.908E-04    8.986E-03
    8.500E-01    4.000E-02    3.913E-04    8.682E-03
    8.500E-01    6.000E-02    3.869E-04    8.218E-03
    8.500E-01    8.000E-02    3.973E-04    7.752E-03
    8.500E-01    1.000E-01    4.199E-04    7.268E-03
    8.500E-01    1.200E-01    4.472E-04    7.492E-03
    8.500E-01    1.400E-01    5.609E-04    7.995E-03
    8.500E-01    1.600E-01    7.534E-04    8.605E-03
    8.500E-01    1.800E-01    9.945E-04    9.061E-03
    8.500E-01    2.000E-01    1.264E-03    9.448E-03
    8.500E-01    2.200E-01    1.526E-03    9.598E-03
    8.500E-01    2.400E-01    1.710E-03    9.709E-03
    8.500E-01    2.600E-01    1.950E-03    1.047E-02
    8.500E-01    2.800E-01    2.214E-03    1.176E-02
    8.500E-01    3.000E-01    2.354E-03    1.288E-02
    8.500E-01    3.200E-01    2.447E-03    1.371E-02
    8.500E-01    3.400E-01    2.412E-03    1.422E-02
    8.500E-01    3.600E-01    2.269E-03    1.449E-02
    8.500E-01    3.800E-01    2.082E-03    1.450E-02
    8.500E-01    4.000E-01    1.850E-03    1.420E-02
    8.500E-01    4.200E-01    1.577E-03    1.362E-02
    8.500E-01    4.400E-01    1.259E-03    1.258E-02
    8.500E-01    4.600E-01    7.802E-04    9.521E-03
    8.500E-01    4.800E-01    2.767E-04    4.768E-03
    8.500E-01    5.000E-01    0.000E+00    0.000E+00
    9.500E-01    0.000E+00    4.019E-04    9.073E-03
    9.500E-01    2.000E-02    4.038E-04    8.976E-03
    9.500E-01    4.000E-02    4.048E-04    8.657E-03
    9.500E-01    6.000E-02    4.045E-04    8.196E-03
    9.500E-01    8.000E-02    4.221E-04    7.797E-03
    9.500E-01    1.000E-01    4.556E-04    7.450E-03
    9.500E-01    1.200E-01    5.068E-04    7.914E-03
    9.500E-01    1.400E-01    6.629E-04    8.682E-03
    9.500E-01    1.600E-01    8.987E-04    9.387E-03
    9.500E-01    1.800E-01    1.179E-03    9.815E-03
    9.500E-01    2.000E-01    1.504E-03    1.026E-02
