 Part 1.

  A specification of both the velocity and turbulence fields at a
distance 0.05 diameters downstream of the expansion.

  The data has been specified at many points so that linear interpolation
will give accurate values at any radial position. The data has been split
into two tables, the first containing data suitable for a two equation
turbulence model codes, and the second the Reynolds stresses.

 The (FORTRAN) format used to read the first set of data should
be: 5E13.3.

    Radial       Axial        Radial       K            Turbulent
    position     velocity     velocity                  viscosity
    8.300E-02    9.766E-01    0.000E+00    1.921E-03    3.394E-04
    8.400E-02    9.761E-01    0.000E+00    1.931E-03    3.392E-04
    8.500E-02    9.756E-01    0.000E+00    1.940E-03    3.390E-04
    8.600E-02    9.751E-01    0.000E+00    1.949E-03    3.388E-04
    8.700E-02    9.746E-01    0.000E+00    1.958E-03    3.386E-04
    8.800E-02    9.740E-01    0.000E+00    1.968E-03    3.384E-04
    8.900E-02    9.735E-01    0.000E+00    1.977E-03    3.382E-04
    9.000E-02    9.729E-01    0.000E+00    1.986E-03    3.379E-04
    9.100E-02    9.724E-01    0.000E+00    1.995E-03    3.376E-04
    9.200E-02    9.719E-01    0.000E+00    2.004E-03    3.373E-04
    9.300E-02    9.713E-01    0.000E+00    2.013E-03    3.370E-04
    9.400E-02    9.708E-01    0.000E+00    2.022E-03    3.367E-04
    9.500E-02    9.702E-01    0.000E+00    2.032E-03    3.364E-04
    9.600E-02    9.696E-01    0.000E+00    2.041E-03    3.361E-04
    9.700E-02    9.691E-01    1.135E-05    2.050E-03    3.357E-04
    9.800E-02    9.685E-01    3.115E-05    2.059E-03    3.353E-04
    9.900E-02    9.679E-01    5.106E-05    2.068E-03    3.350E-04
    1.000E-01    9.674E-01    7.109E-05    2.077E-03    3.346E-04
    1.010E-01    9.668E-01    9.122E-05    2.087E-03    3.359E-04
    1.020E-01    9.662E-01    1.115E-04    2.096E-03    3.371E-04
    1.030E-01    9.656E-01    1.318E-04    2.106E-03    3.383E-04
    1.040E-01    9.650E-01    1.523E-04    2.116E-03    3.395E-04
    1.050E-01    9.644E-01    1.729E-04    2.126E-03    3.407E-04
    1.060E-01    9.637E-01    1.936E-04    2.136E-03    3.418E-04
    1.070E-01    9.631E-01    2.144E-04    2.147E-03    3.430E-04
    1.080E-01    9.624E-01    2.353E-04    2.158E-03    3.441E-04
    1.090E-01    9.618E-01    2.563E-04    2.169E-03    3.452E-04
    1.100E-01    9.611E-01    2.775E-04    2.181E-03    3.464E-04
    1.110E-01    9.604E-01    2.987E-04    2.192E-03    3.474E-04
    1.120E-01    9.597E-01    3.201E-04    2.204E-03    3.485E-04
    1.130E-01    9.590E-01    3.416E-04    2.216E-03    3.495E-04
    1.140E-01    9.583E-01    3.632E-04    2.228E-03    3.504E-04
    1.150E-01    9.576E-01    3.849E-04    2.241E-03    3.515E-04
    1.160E-01    9.568E-01    4.067E-04    2.254E-03    3.524E-04
    1.170E-01    9.561E-01    4.286E-04    2.267E-03    3.534E-04
    1.180E-01    9.554E-01    4.506E-04    2.280E-03    3.542E-04
    1.190E-01    9.546E-01    4.728E-04    2.294E-03    3.552E-04
    1.200E-01    9.538E-01    4.950E-04    2.307E-03    3.560E-04
    1.210E-01    9.530E-01    5.174E-04    2.321E-03    3.568E-04
    1.220E-01    9.522E-01    5.399E-04    2.336E-03    3.576E-04
    1.230E-01    9.514E-01    5.625E-04    2.350E-03    3.584E-04
    1.240E-01    9.506E-01    5.852E-04    2.365E-03    3.592E-04
    1.250E-01    9.498E-01    6.080E-04    2.380E-03    3.599E-04
    1.260E-01    9.490E-01    6.310E-04    2.395E-03    3.606E-04
    1.270E-01    9.481E-01    6.540E-04    2.411E-03    3.613E-04
    1.280E-01    9.473E-01    6.771E-04    2.426E-03    3.619E-04
    1.290E-01    9.464E-01    7.004E-04    2.442E-03    3.625E-04
    1.300E-01    9.455E-01    7.238E-04    2.458E-03    3.630E-04
    1.310E-01    9.446E-01    7.473E-04    2.474E-03    3.636E-04
    1.320E-01    9.437E-01    7.709E-04    2.491E-03    3.641E-04
    1.330E-01    9.428E-01    7.946E-04    2.507E-03    3.645E-04
    1.340E-01    9.419E-01    8.184E-04    2.525E-03    3.650E-04
    1.350E-01    9.410E-01    8.423E-04    2.542E-03    3.654E-04
    1.360E-01    9.400E-01    8.664E-04    2.559E-03    3.657E-04
    1.370E-01    9.391E-01    8.906E-04    2.577E-03    3.661E-04
    1.380E-01    9.381E-01    9.148E-04    2.595E-03    3.664E-04
    1.390E-01    9.372E-01    9.392E-04    2.613E-03    3.667E-04
    1.400E-01    9.362E-01    9.637E-04    2.632E-03    3.669E-04
    1.410E-01    9.352E-01    9.883E-04    2.651E-03    3.671E-04
    1.420E-01    9.342E-01    1.013E-03    2.670E-03    3.673E-04
    1.430E-01    9.332E-01    1.038E-03    2.689E-03    3.674E-04
    1.440E-01    9.322E-01    1.063E-03    2.708E-03    3.674E-04
    1.450E-01    9.311E-01    1.088E-03    2.728E-03    3.675E-04
    1.460E-01    9.301E-01    1.113E-03    2.748E-03    3.675E-04
    1.470E-01    9.291E-01    1.138E-03    2.768E-03    3.674E-04
